# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: [(1,0),(2,4)] on p6m
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 4.4055 AA; b = 15.2611 AA
#        Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
# Surface lattice: Hexagonal (p6m); a = 4.4055 AA; alpha = 120.00 deg
#
# Exporting beams from 12 domain(s) out of 12 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[1 0] [2 4]]
# Domain 2 - Basis: a = [4.4055 0.0000]; b = [ -0.0000 -15.2611]
#            Superlattice: [[ 1  0] [-2 -4]]
# Domain 3 - Basis: a = [-2.2028 -3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[-1 -1] [-2  2]]
# Domain 4 - Basis: a = [-4.4055  0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[-1  0] [ 2  4]]
# Domain 5 - Basis: a = [2.2028 3.8153]; b = [13.2165 -7.6305]
#            Superlattice: [[ 1  1] [ 2 -2]]
# Domain 6 - Basis: a = [-2.2027  3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[0 1] [4 2]]
# Domain 7 - Basis: a = [ 2.2027 -3.8153]; b = [-13.2165  -7.6305]
#            Superlattice: [[ 0 -1] [-4 -2]]
# Domain 8 - Basis: a = [2.2028 3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[ 1  1] [-2  2]]
# Domain 9 - Basis: a = [ 2.2027 -3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[ 0 -1] [ 4  2]]
# Domain 10 - Basis: a = [-2.2027  3.8153]; b = [-13.2165  -7.6305]
#             Superlattice: [[ 0  1] [-4 -2]]
# Domain 11 - Basis: a = [-4.4055  0.0000]; b = [ -0.0000 -15.2611]
#             Superlattice: [[-1  0] [-2 -4]]
# Domain 12 - Basis: a = [-2.2028 -3.8153]; b = [13.2165 -7.6305]
#             Superlattice: [[-1 -1] [ 2 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,        domain(s)         ,
( -7/2| -3/2),-3.50000,-1.50000, -4.99175, -5.35226,   72,                  3+5+8+12,
(  9/2|  0  ), 4.50000, 0.00000,  6.41796,  3.70541,   73,                  6+7+9+10,
(  0  |  9/2), 0.00000, 4.50000,  0.00000,  7.41082,   73,                  1+2+4+11,
(  9/2| -9/2), 4.50000,-4.50000,  6.41796, -3.70541,   73,                  3+5+8+12,
( -9/2|  9/2),-4.50000, 4.50000, -6.41796,  3.70541,   73,                  3+5+8+12,
(  0  | -9/2), 0.00000,-4.50000,  0.00000, -7.41082,   73,                  1+2+4+11,
( -9/2|  0  ),-4.50000, 0.00000, -6.41796, -3.70541,   73,                  6+7+9+10,
( 15/4|  5/4), 3.75000, 1.25000,  5.34830,  5.14641,   74,                  3+5+8+12,
(  5/4| 15/4), 1.25000, 3.75000,  1.78277,  7.20497,   74,                  3+5+8+12,
(  5  | -5/4), 5.00000,-1.25000,  7.13107,  2.05856,   74,                  1+2+4+11,
( -5/4|  5  ),-1.25000, 5.00000, -1.78277,  7.20497,   74,                  6+7+9+10,
(  5  |-15/4), 5.00000,-3.75000,  7.13107, -2.05856,   74,                  1+2+4+11,
(-15/4|  5  ),-3.75000, 5.00000, -5.34830,  5.14641,   74,                  6+7+9+10,
( 15/4| -5  ), 3.75000,-5.00000,  5.34830, -5.14641,   74,                  6+7+9+10,
( -5  | 15/4),-5.00000, 3.75000, -7.13107,  2.05856,   74,                  1+2+4+11,
(  5/4| -5  ), 1.25000,-5.00000,  1.78277, -7.20497,   74,                  6+7+9+10,
( -5  |  5/4),-5.00000, 1.25000, -7.13107, -2.05856,   74,                  1+2+4+11,
( -5/4|-15/4),-1.25000,-3.75000, -1.78277, -7.20497,   74,                  3+5+8+12,
(-15/4| -5/4),-3.75000,-1.25000, -5.34830, -5.14641,   74,                  3+5+8+12,
(  3  |  9/4), 3.00000, 2.25000,  4.27864,  6.17569,   75,                  1+2+4+11,
(  9/4|  3  ), 2.25000, 3.00000,  3.20898,  6.79326,   75,                  6+7+9+10,
( 21/4| -9/4), 5.25000,-2.25000,  7.48762,  0.61757,   75,                  3+5+8+12,
( -9/4| 21/4),-2.25000, 5.25000, -3.20898,  6.79326,   75,                  3+5+8+12,
( 21/4| -3  ), 5.25000,-3.00000,  7.48762, -0.61757,   75,                  6+7+9+10,
( -3  | 21/4),-3.00000, 5.25000, -4.27864,  6.17569,   75,                  1+2+4+11,
(  3  |-21/4), 3.00000,-5.25000,  4.27864, -6.17569,   75,                  1+2+4+11,
(-21/4|  3  ),-5.25000, 3.00000, -7.48762,  0.61757,   75,                  6+7+9+10,
(  9/4|-21/4), 2.25000,-5.25000,  3.20898, -6.79326,   75,                  3+5+8+12,
(-21/4|  9/4),-5.25000, 2.25000, -7.48762, -0.61757,   75,                  3+5+8+12,
( -9/4| -3  ),-2.25000,-3.00000, -3.20898, -6.79326,   75,                  6+7+9+10,
( -3  | -9/4),-3.00000,-2.25000, -4.27864, -6.17569,   75,                  1+2+4+11,
(  4  |  1  ), 4.00000, 1.00000,  5.70486,  4.94055,   76,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  |  4  ), 1.00000, 4.00000,  1.42621,  7.41082,   76,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  | -1  ), 5.00000,-1.00000,  7.13107,  2.47027,   76,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  |  5  ),-1.00000, 5.00000, -1.42621,  7.41082,   76,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  | -4  ), 5.00000,-4.00000,  7.13107, -2.47027,   76,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  5  ),-4.00000, 5.00000, -5.70486,  4.94055,   76,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -5  ), 4.00000,-5.00000,  5.70486, -4.94055,   76,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  4  ),-5.00000, 4.00000, -7.13107,  2.47027,   76,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  | -5  ), 1.00000,-5.00000,  1.42621, -7.41082,   76,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  1  ),-5.00000, 1.00000, -7.13107, -2.47027,   76,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  | -4  ),-1.00000,-4.00000, -1.42621, -7.41082,   76,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  | -1  ),-4.00000,-1.00000, -5.70486, -4.94055,   76,1+2+3+4+5+6+7+8+9+10+11+12,
( 13/4|  2  ), 3.25000, 2.00000,  4.63520,  5.96983,   77,                  6+7+9+10,
(  2  | 13/4), 2.00000, 3.25000,  2.85243,  6.99911,   77,                  1+2+4+11,
( 21/4| -2  ), 5.25000,-2.00000,  7.48762,  1.02928,   77,                  6+7+9+10,
( -2  | 21/4),-2.00000, 5.25000, -2.85243,  6.99911,   77,                  1+2+4+11,
( 21/4|-13/4), 5.25000,-3.25000,  7.48762, -1.02928,   77,                  3+5+8+12,
(-13/4| 21/4),-3.25000, 5.25000, -4.63520,  5.96983,   77,                  3+5+8+12,
( 13/4|-21/4), 3.25000,-5.25000,  4.63520, -5.96983,   77,                  3+5+8+12,
(-21/4| 13/4),-5.25000, 3.25000, -7.48762,  1.02928,   77,                  3+5+8+12,
(  2  |-21/4), 2.00000,-5.25000,  2.85243, -6.99911,   77,                  1+2+4+11,
(-21/4|  2  ),-5.25000, 2.00000, -7.48762, -1.02928,   77,                  6+7+9+10,
( -2  |-13/4),-2.00000,-3.25000, -2.85243, -6.99911,   77,                  1+2+4+11,
(-13/4| -2  ),-3.25000,-2.00000, -4.63520, -5.96983,   77,                  6+7+9+10,
( 17/4|  3/4), 4.25000, 0.75000,  6.06141,  4.73469,   78,                  3+5+8+12,
(  3/4| 17/4), 0.75000, 4.25000,  1.06966,  7.61668,   78,                  3+5+8+12,
(  5  | -3/4), 5.00000,-0.75000,  7.13107,  2.88199,   78,                  1+2+4+11,
( -3/4|  5  ),-0.75000, 5.00000, -1.06966,  7.61668,   78,                  6+7+9+10,
(  5  |-17/4), 5.00000,-4.25000,  7.13107, -2.88199,   78,                  1+2+4+11,
(-17/4|  5  ),-4.25000, 5.00000, -6.06141,  4.73469,   78,                  6+7+9+10,
( 17/4| -5  ), 4.25000,-5.00000,  6.06141, -4.73469,   78,                  6+7+9+10,
( -5  | 17/4),-5.00000, 4.25000, -7.13107,  2.88199,   78,                  1+2+4+11,
(  3/4| -5  ), 0.75000,-5.00000,  1.06966, -7.61668,   78,                  6+7+9+10,
( -5  |  3/4),-5.00000, 0.75000, -7.13107, -2.88199,   78,                  1+2+4+11,
( -3/4|-17/4),-0.75000,-4.25000, -1.06966, -7.61668,   78,                  3+5+8+12,
(-17/4| -3/4),-4.25000,-0.75000, -6.06141, -4.73469,   78,                  3+5+8+12,
(  4  |  5/4), 4.00000, 1.25000,  5.70486,  5.35226,   79,                  1+2+4+11,
(  5/4|  4  ), 1.25000, 4.00000,  1.78277,  7.61668,   79,                  6+7+9+10,
( 21/4| -5/4), 5.25000,-1.25000,  7.48762,  2.26442,   79,                  3+5+8+12,
( -5/4| 21/4),-1.25000, 5.25000, -1.78277,  7.61668,   79,                  3+5+8+12,
( 21/4| -4  ), 5.25000,-4.00000,  7.48762, -2.26442,   79,                  6+7+9+10,
( -4  | 21/4),-4.00000, 5.25000, -5.70486,  5.35226,   79,                  1+2+4+11,
(  4  |-21/4), 4.00000,-5.25000,  5.70486, -5.35226,   79,                  1+2+4+11,
(-21/4|  4  ),-5.25000, 4.00000, -7.48762,  2.26442,   79,                  6+7+9+10,
(  5/4|-21/4), 1.25000,-5.25000,  1.78277, -7.61668,   79,                  3+5+8+12,
(-21/4|  5/4),-5.25000, 1.25000, -7.48762, -2.26442,   79,                  3+5+8+12,
( -5/4| -4  ),-1.25000,-4.00000, -1.78277, -7.61668,   79,                  6+7+9+10,
( -4  | -5/4),-4.00000,-1.25000, -5.70486, -5.35226,   79,                  1+2+4+11,
( 19/4|  0  ), 4.75000, 0.00000,  6.77452,  3.91127,   80,                  6+7+9+10,
(  0  | 19/4), 0.00000, 4.75000,  0.00000,  7.82254,   80,                  1+2+4+11,
( 19/4|-19/4), 4.75000,-4.75000,  6.77452, -3.91127,   80,                  3+5+8+12,
(-19/4| 19/4),-4.75000, 4.75000, -6.77452,  3.91127,   80,                  3+5+8+12,
(  0  |-19/4), 0.00000,-4.75000,  0.00000, -7.82254,   80,                  1+2+4+11,
(-19/4|  0  ),-4.75000, 0.00000, -6.77452, -3.91127,   80,                  6+7+9+10,
(  3  |  5/2), 3.00000, 2.50000,  4.27864,  6.58740,   81,                  1+2+4+11,
(  5/2|  3  ), 2.50000, 3.00000,  3.56553,  6.99911,   81,                  6+7+9+10,
( 11/2| -5/2), 5.50000,-2.50000,  7.84418,  0.41171,   81,                  3+5+8+12,
( -5/2| 11/2),-2.50000, 5.50000, -3.56553,  6.99911,   81,                  3+5+8+12,
( 11/2| -3  ), 5.50000,-3.00000,  7.84418, -0.41171,   81,                  6+7+9+10,
( -3  | 11/2),-3.00000, 5.50000, -4.27864,  6.58740,   81,                  1+2+4+11,
(  3  |-11/2), 3.00000,-5.50000,  4.27864, -6.58740,   81,                  1+2+4+11,
(-11/2|  3  ),-5.50000, 3.00000, -7.84418,  0.41171,   81,                  6+7+9+10,
(  5/2|-11/2), 2.50000,-5.50000,  3.56553, -6.99911,   81,                  3+5+8+12,
(-11/2|  5/2),-5.50000, 2.50000, -7.84418, -0.41171,   81,                  3+5+8+12,
( -5/2| -3  ),-2.50000,-3.00000, -3.56553, -6.99911,   81,                  6+7+9+10,
( -3  | -5/2),-3.00000,-2.50000, -4.27864, -6.58740,   81,                  1+2+4+11,
(  9/2|  1/2), 4.50000, 0.50000,  6.41796,  4.52884,   82,                  3+5+8+12,
(  1/2|  9/2), 0.50000, 4.50000,  0.71311,  7.82254,   82,                  3+5+8+12,
(  5  | -1/2), 5.00000,-0.50000,  7.13107,  3.29370,   82,                  1+2+4+11,
( -1/2|  5  ),-0.50000, 5.00000, -0.71311,  7.82254,   82,                  6+7+9+10,
(  5  | -9/2), 5.00000,-4.50000,  7.13107, -3.29370,   82,                  1+2+4+11,
( -9/2|  5  ),-4.50000, 5.00000, -6.41796,  4.52884,   82,                  6+7+9+10,
(  9/2| -5  ), 4.50000,-5.00000,  6.41796, -4.52884,   82,                  6+7+9+10,
( -5  |  9/2),-5.00000, 4.50000, -7.13107,  3.29370,   82,                  1+2+4+11,
(  1/2| -5  ), 0.50000,-5.00000,  0.71311, -7.82254,   82,                  6+7+9+10,
( -5  |  1/2),-5.00000, 0.50000, -7.13107, -3.29370,   82,                  1+2+4+11,
( -1/2| -9/2),-0.50000,-4.50000, -0.71311, -7.82254,   82,                  3+5+8+12,
( -9/2| -1/2),-4.50000,-0.50000, -6.41796, -4.52884,   82,                  3+5+8+12,
(  7/2|  2  ), 3.50000, 2.00000,  4.99175,  6.17569,   83,                  6+7+9+10,
(  2  |  7/2), 2.00000, 3.50000,  2.85243,  7.41082,   83,                  1+2+4+11,
( 11/2| -2  ), 5.50000,-2.00000,  7.84418,  1.23514,   83,                  6+7+9+10,
( -2  | 11/2),-2.00000, 5.50000, -2.85243,  7.41082,   83,                  1+2+4+11,
( 11/2| -7/2), 5.50000,-3.50000,  7.84418, -1.23514,   83,                  3+5+8+12,
( -7/2| 11/2),-3.50000, 5.50000, -4.99175,  6.17569,   83,                  3+5+8+12,
(  7/2|-11/2), 3.50000,-5.50000,  4.99175, -6.17569,   83,                  3+5+8+12,
(-11/2|  7/2),-5.50000, 3.50000, -7.84418,  1.23514,   83,                  3+5+8+12,
(  2  |-11/2), 2.00000,-5.50000,  2.85243, -7.41082,   83,                  1+2+4+11,
(-11/2|  2  ),-5.50000, 2.00000, -7.84418, -1.23514,   83,                  6+7+9+10,
( -2  | -7/2),-2.00000,-3.50000, -2.85243, -7.41082,   83,                  1+2+4+11,
( -7/2| -2  ),-3.50000,-2.00000, -4.99175, -6.17569,   83,                  6+7+9+10,
( 17/4|  1  ), 4.25000, 1.00000,  6.06141,  5.14641,   84,                  6+7+9+10,
(  1  | 17/4), 1.00000, 4.25000,  1.42621,  7.82254,   84,                  1+2+4+11,
( 21/4| -1  ), 5.25000,-1.00000,  7.48762,  2.67613,   84,                  6+7+9+10,
( -1  | 21/4),-1.00000, 5.25000, -1.42621,  7.82254,   84,                  1+2+4+11,
( 21/4|-17/4), 5.25000,-4.25000,  7.48762, -2.67613,   84,                  3+5+8+12,
(-17/4| 21/4),-4.25000, 5.25000, -6.06141,  5.14641,   84,                  3+5+8+12,
( 17/4|-21/4), 4.25000,-5.25000,  6.06141, -5.14641,   84,                  3+5+8+12,
(-21/4| 17/4),-5.25000, 4.25000, -7.48762,  2.67613,   84,                  3+5+8+12,
(  1  |-21/4), 1.00000,-5.25000,  1.42621, -7.82254,   84,                  1+2+4+11,
(-21/4|  1  ),-5.25000, 1.00000, -7.48762, -2.67613,   84,                  6+7+9+10,
( -1  |-17/4),-1.00000,-4.25000, -1.42621, -7.82254,   84,                  1+2+4+11,
(-17/4| -1  ),-4.25000,-1.00000, -6.06141, -5.14641,   84,                  6+7+9+10,
( 19/4|  1/4), 4.75000, 0.25000,  6.77452,  4.32298,   85,                  3+5+8+12,
(  1/4| 19/4), 0.25000, 4.75000,  0.35655,  8.02839,   85,                  3+5+8+12,
(  5  | -1/4), 5.00000,-0.25000,  7.13107,  3.70541,   85,                  1+2+4+11,
( -1/4|  5  ),-0.25000, 5.00000, -0.35655,  8.02839,   85,                  6+7+9+10,
(  5  |-19/4), 5.00000,-4.75000,  7.13107, -3.70541,   85,                  1+2+4+11,
(-19/4|  5  ),-4.75000, 5.00000, -6.77452,  4.32298,   85,                  6+7+9+10,
( 19/4| -5  ), 4.75000,-5.00000,  6.77452, -4.32298,   85,                  6+7+9+10,
( -5  | 19/4),-5.00000, 4.75000, -7.13107,  3.70541,   85,                  1+2+4+11,
(  1/4| -5  ), 0.25000,-5.00000,  0.35655, -8.02839,   85,                  6+7+9+10,
( -5  |  1/4),-5.00000, 0.25000, -7.13107, -3.70541,   85,                  1+2+4+11,
( -1/4|-19/4),-0.25000,-4.75000, -0.35655, -8.02839,   85,                  3+5+8+12,
(-19/4| -1/4),-4.75000,-0.25000, -6.77452, -4.32298,   85,                  3+5+8+12,
(  4  |  3/2), 4.00000, 1.50000,  5.70486,  5.76397,   86,                  1+2+4+11,
(  3/2|  4  ), 1.50000, 4.00000,  2.13932,  7.82254,   86,                  6+7+9+10,
( 11/2| -3/2), 5.50000,-1.50000,  7.84418,  2.05856,   86,                  3+5+8+12,
( -3/2| 11/2),-1.50000, 5.50000, -2.13932,  7.82254,   86,                  3+5+8+12,
( 11/2| -4  ), 5.50000,-4.00000,  7.84418, -2.05856,   86,                  6+7+9+10,
( -4  | 11/2),-4.00000, 5.50000, -5.70486,  5.76397,   86,                  1+2+4+11,
(  4  |-11/2), 4.00000,-5.50000,  5.70486, -5.76397,   86,                  1+2+4+11,
(-11/2|  4  ),-5.50000, 4.00000, -7.84418,  2.05856,   86,                  6+7+9+10,
(  3/2|-11/2), 1.50000,-5.50000,  2.13932, -7.82254,   86,                  3+5+8+12,
(-11/2|  3/2),-5.50000, 1.50000, -7.84418, -2.05856,   86,                  3+5+8+12,
( -3/2| -4  ),-1.50000,-4.00000, -2.13932, -7.82254,   86,                  6+7+9+10,
( -4  | -3/2),-4.00000,-1.50000, -5.70486, -5.76397,   86,                  1+2+4+11,
(  3  | 11/4), 3.00000, 2.75000,  4.27864,  6.99911,   87,                  1+2+4+11,
( 11/4|  3  ), 2.75000, 3.00000,  3.92209,  7.20497,   87,                  6+7+9+10,
( 23/4|-11/4), 5.75000,-2.75000,  8.20073,  0.20586,   87,                  3+5+8+12,
(-11/4| 23/4),-2.75000, 5.75000, -3.92209,  7.20497,   87,                  3+5+8+12,
( 23/4| -3  ), 5.75000,-3.00000,  8.20073, -0.20586,   87,                  6+7+9+10,
( -3  | 23/4),-3.00000, 5.75000, -4.27864,  6.99911,   87,                  1+2+4+11,
(  3  |-23/4), 3.00000,-5.75000,  4.27864, -6.99911,   87,                  1+2+4+11,
(-23/4|  3  ),-5.75000, 3.00000, -8.20073,  0.20586,   87,                  6+7+9+10,
( 11/4|-23/4), 2.75000,-5.75000,  3.92209, -7.20497,   87,                  3+5+8+12,
(-23/4| 11/4),-5.75000, 2.75000, -8.20073, -0.20586,   87,                  3+5+8+12,
(-11/4| -3  ),-2.75000,-3.00000, -3.92209, -7.20497,   87,                  6+7+9+10,
( -3  |-11/4),-3.00000,-2.75000, -4.27864, -6.99911,   87,                  1+2+4+11,
(  5  |  0  ), 5.00000, 0.00000,  7.13107,  4.11712,   88,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  |  5  ), 0.00000, 5.00000,  0.00000,  8.23425,   88,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  | -5  ), 5.00000,-5.00000,  7.13107, -4.11712,   88,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  5  ),-5.00000, 5.00000, -7.13107,  4.11712,   88,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  | -5  ), 0.00000,-5.00000,  0.00000, -8.23425,   88,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  0  ),-5.00000, 0.00000, -7.13107, -4.11712,   88,1+2+3+4+5+6+7+8+9+10+11+12,
( 15/4|  2  ), 3.75000, 2.00000,  5.34830,  6.38154,   89,                  6+7+9+10,
(  2  | 15/4), 2.00000, 3.75000,  2.85243,  7.82254,   89,                  1+2+4+11,
( 23/4| -2  ), 5.75000,-2.00000,  8.20073,  1.44099,   89,                  6+7+9+10,
( -2  | 23/4),-2.00000, 5.75000, -2.85243,  7.82254,   89,                  1+2+4+11,
( 23/4|-15/4), 5.75000,-3.75000,  8.20073, -1.44099,   89,                  3+5+8+12,
(-15/4| 23/4),-3.75000, 5.75000, -5.34830,  6.38154,   89,                  3+5+8+12,
( 15/4|-23/4), 3.75000,-5.75000,  5.34830, -6.38154,   89,                  3+5+8+12,
(-23/4| 15/4),-5.75000, 3.75000, -8.20073,  1.44099,   89,                  3+5+8+12,
(  2  |-23/4), 2.00000,-5.75000,  2.85243, -7.82254,   89,                  1+2+4+11,
(-23/4|  2  ),-5.75000, 2.00000, -8.20073, -1.44099,   89,                  6+7+9+10,
( -2  |-15/4),-2.00000,-3.75000, -2.85243, -7.82254,   89,                  1+2+4+11,
(-15/4| -2  ),-3.75000,-2.00000, -5.34830, -6.38154,   89,                  6+7+9+10,
(  9/2|  1  ), 4.50000, 1.00000,  6.41796,  5.35226,   90,                  6+7+9+10,
(  1  |  9/2), 1.00000, 4.50000,  1.42621,  8.23425,   90,                  1+2+4+11,
( 11/2| -1  ), 5.50000,-1.00000,  7.84418,  2.88199,   90,                  6+7+9+10,
( -1  | 11/2),-1.00000, 5.50000, -1.42621,  8.23425,   90,                  1+2+4+11,
( 11/2| -9/2), 5.50000,-4.50000,  7.84418, -2.88199,   90,                  3+5+8+12,
( -9/2| 11/2),-4.50000, 5.50000, -6.41796,  5.35226,   90,                  3+5+8+12,
(  9/2|-11/2), 4.50000,-5.50000,  6.41796, -5.35226,   90,                  3+5+8+12,
(-11/2|  9/2),-5.50000, 4.50000, -7.84418,  2.88199,   90,                  3+5+8+12,
(  1  |-11/2), 1.00000,-5.50000,  1.42621, -8.23425,   90,                  1+2+4+11,
(-11/2|  1  ),-5.50000, 1.00000, -7.84418, -2.88199,   90,                  6+7+9+10,
( -1  | -9/2),-1.00000,-4.50000, -1.42621, -8.23425,   90,                  1+2+4+11,
( -9/2| -1  ),-4.50000,-1.00000, -6.41796, -5.35226,   90,                  6+7+9+10,
(  4  |  7/4), 4.00000, 1.75000,  5.70486,  6.17569,   91,                  1+2+4+11,
(  7/4|  4  ), 1.75000, 4.00000,  2.49587,  8.02839,   91,                  6+7+9+10,
( 23/4| -7/4), 5.75000,-1.75000,  8.20073,  1.85271,   91,                  3+5+8+12,
( -7/4| 23/4),-1.75000, 5.75000, -2.49587,  8.02839,   91,                  3+5+8+12,
( 23/4| -4  ), 5.75000,-4.00000,  8.20073, -1.85271,   91,                  6+7+9+10,
( -4  | 23/4),-4.00000, 5.75000, -5.70486,  6.17569,   91,                  1+2+4+11,
(  4  |-23/4), 4.00000,-5.75000,  5.70486, -6.17569,   91,                  1+2+4+11,
(-23/4|  4  ),-5.75000, 4.00000, -8.20073,  1.85271,   91,                  6+7+9+10,
(  7/4|-23/4), 1.75000,-5.75000,  2.49587, -8.02839,   91,                  3+5+8+12,
(-23/4|  7/4),-5.75000, 1.75000, -8.20073, -1.85271,   91,                  3+5+8+12,
( -7/4| -4  ),-1.75000,-4.00000, -2.49587, -8.02839,   91,                  6+7+9+10,
( -4  | -7/4),-4.00000,-1.75000, -5.70486, -6.17569,   91,                  1+2+4+11,
(  5  |  1/4), 5.00000, 0.25000,  7.13107,  4.52884,   92,                  1+2+4+11,
(  1/4|  5  ), 0.25000, 5.00000,  0.35655,  8.44011,   92,                  6+7+9+10,
( 21/4| -1/4), 5.25000,-0.25000,  7.48762,  3.91127,   92,                  3+5+8+12,
( -1/4| 21/4),-0.25000, 5.25000, -0.35655,  8.44011,   92,                  3+5+8+12,
( 21/4| -5  ), 5.25000,-5.00000,  7.48762, -3.91127,   92,                  6+7+9+10,
( -5  | 21/4),-5.00000, 5.25000, -7.13107,  4.52884,   92,                  1+2+4+11,
(  5  |-21/4), 5.00000,-5.25000,  7.13107, -4.52884,   92,                  1+2+4+11,
(-21/4|  5  ),-5.25000, 5.00000, -7.48762,  3.91127,   92,                  6+7+9+10,
(  1/4|-21/4), 0.25000,-5.25000,  0.35655, -8.44011,   92,                  3+5+8+12,
(-21/4|  1/4),-5.25000, 0.25000, -7.48762, -3.91127,   92,                  3+5+8+12,
( -1/4| -5  ),-0.25000,-5.00000, -0.35655, -8.44011,   92,                  6+7+9+10,
( -5  | -1/4),-5.00000,-0.25000, -7.13107, -4.52884,   92,                  1+2+4+11,
(  3  |  3  ), 3.00000, 3.00000,  4.27864,  7.41082,   93,1+2+3+4+5+6+7+8+9+10+11+12,
(  6  | -3  ), 6.00000,-3.00000,  8.55728, -0.00000,   93,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  6  ),-3.00000, 6.00000, -4.27864,  7.41082,   93,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  | -6  ), 3.00000,-6.00000,  4.27864, -7.41082,   93,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  3  ),-6.00000, 3.00000, -8.55728,  0.00000,   93,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  | -3  ),-3.00000,-3.00000, -4.27864, -7.41082,   93,1+2+3+4+5+6+7+8+9+10+11+12,
( 13/4| 11/4), 3.25000, 2.75000,  4.63520,  7.20497,   94,                  3+5+8+12,
( 11/4| 13/4), 2.75000, 3.25000,  3.92209,  7.61668,   94,                  3+5+8+12,
(  6  |-11/4), 6.00000,-2.75000,  8.55728,  0.41171,   94,                  1+2+4+11,
(-11/4|  6  ),-2.75000, 6.00000, -3.92209,  7.61668,   94,                  6+7+9+10,
(  6  |-13/4), 6.00000,-3.25000,  8.55728, -0.41171,   94,                  1+2+4+11,
(-13/4|  6  ),-3.25000, 6.00000, -4.63520,  7.20497,   94,                  6+7+9+10,
( 13/4| -6  ), 3.25000,-6.00000,  4.63520, -7.20497,   94,                  6+7+9+10,
( -6  | 13/4),-6.00000, 3.25000, -8.55728,  0.41171,   94,                  1+2+4+11,
( 11/4| -6  ), 2.75000,-6.00000,  3.92209, -7.61668,   94,                  6+7+9+10,
( -6  | 11/4),-6.00000, 2.75000, -8.55728, -0.41171,   94,                  1+2+4+11,
(-11/4|-13/4),-2.75000,-3.25000, -3.92209, -7.61668,   94,                  3+5+8+12,
(-13/4|-11/4),-3.25000,-2.75000, -4.63520, -7.20497,   94,                  3+5+8+12,
(  7/2|  5/2), 3.50000, 2.50000,  4.99175,  6.99911,   95,                  3+5+8+12,
(  5/2|  7/2), 2.50000, 3.50000,  3.56553,  7.82254,   95,                  3+5+8+12,
(  6  | -5/2), 6.00000,-2.50000,  8.55728,  0.82342,   95,                  1+2+4+11,
( -5/2|  6  ),-2.50000, 6.00000, -3.56553,  7.82254,   95,                  6+7+9+10,
(  6  | -7/2), 6.00000,-3.50000,  8.55728, -0.82342,   95,                  1+2+4+11,
( -7/2|  6  ),-3.50000, 6.00000, -4.99175,  6.99911,   95,                  6+7+9+10,
(  7/2| -6  ), 3.50000,-6.00000,  4.99175, -6.99911,   95,                  6+7+9+10,
( -6  |  7/2),-6.00000, 3.50000, -8.55728,  0.82342,   95,                  1+2+4+11,
(  5/2| -6  ), 2.50000,-6.00000,  3.56553, -7.82254,   95,                  6+7+9+10,
( -6  |  5/2),-6.00000, 2.50000, -8.55728, -0.82342,   95,                  1+2+4+11,
( -5/2| -7/2),-2.50000,-3.50000, -3.56553, -7.82254,   95,                  3+5+8+12,
( -7/2| -5/2),-3.50000,-2.50000, -4.99175, -6.99911,   95,                  3+5+8+12,
