# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
(  7/2 | -7/2 ), 3.50000,-3.50000,  8.64602, -4.99178,  226,        3+6,
( -7/2 |  0   ),-3.50000, 0.00000, -8.64602, -4.99178,  226,        4+5,
( 13/12| 17/6 ), 1.08333, 2.83333,  2.67615,  9.62701,  227,        4+5,
(-13/12| 47/12),-1.08333, 3.91667, -2.67615,  9.62701,  227,        3+6,
( 47/12|-17/6 ), 3.91667,-2.83333,  9.67531, -2.49589,  227,        4+5,
( 17/6 |-47/12), 2.83333,-3.91667,  6.99916, -7.13112,  227,        1+2,
(-47/12| 13/12),-3.91667, 1.08333, -9.67531, -2.49589,  227,        3+6,
(-17/6 |-13/12),-2.83333,-1.08333, -6.99916, -7.13112,  227,        1+2,
( 41/12|  1/6 ), 3.41667, 0.16667,  8.44016,  5.34834,  228,        4+5,
( 43/12| -1/6 ), 3.58333,-0.16667,  8.85188,  4.63523,  228,        4+5,
(-41/12| 43/12),-3.41667, 3.58333, -8.44016,  5.34834,  228,        3+6,
(-43/12| 41/12),-3.58333, 3.41667, -8.85188,  4.63523,  228,        3+6,
(  1/6 |-43/12), 0.16667,-3.58333,  0.41172, -9.98356,  228,        1+2,
( -1/6 |-41/12),-0.16667,-3.41667, -0.41172, -9.98356,  228,        1+2,
( 17/6 | 13/12), 2.83333, 1.08333,  6.99916,  7.13112,  229,        1+2,
( 47/12|-13/12), 3.91667,-1.08333,  9.67531,  2.49589,  229,        3+6,
(-17/6 | 47/12),-2.83333, 3.91667, -6.99916,  7.13112,  229,        1+2,
(-47/12| 17/6 ),-3.91667, 2.83333, -9.67531,  2.49589,  229,        4+5,
( 13/12|-47/12), 1.08333,-3.91667,  2.67615, -9.62701,  229,        3+6,
(-13/12|-17/6 ),-1.08333,-2.83333, -2.67615, -9.62701,  229,        4+5,
(  1/6 | 41/12), 0.16667, 3.41667,  0.41172,  9.98356,  230,        1+2,
( -1/6 | 43/12),-0.16667, 3.58333, -0.41172,  9.98356,  230,        1+2,
( 43/12|-41/12), 3.58333,-3.41667,  8.85188, -4.63523,  230,        3+6,
( 41/12|-43/12), 3.41667,-3.58333,  8.44016, -5.34834,  230,        3+6,
(-43/12|  1/6 ),-3.58333, 0.16667, -8.85188, -4.63523,  230,        4+5,
(-41/12| -1/6 ),-3.41667,-0.16667, -8.44016, -5.34834,  230,        4+5,
(  1/3 | 10/3 ), 0.33333, 3.33333,  0.82343,  9.98356,  231,1+2+3+4+5+6,
( -1/3 | 11/3 ),-0.33333, 3.66667, -0.82343,  9.98356,  231,1+2+3+4+5+6,
( 11/3 |-10/3 ), 3.66667,-3.33333,  9.05773, -4.27867,  231,1+2+3+4+5+6,
( 10/3 |-11/3 ), 3.33333,-3.66667,  8.23430, -5.70489,  231,1+2+3+4+5+6,
(-11/3 |  1/3 ),-3.66667, 0.33333, -9.05773, -4.27867,  231,1+2+3+4+5+6,
(-10/3 | -1/3 ),-3.33333,-0.33333, -8.23430, -5.70489,  231,1+2+3+4+5+6,
( 10/3 |  1/3 ), 3.33333, 0.33333,  8.23430,  5.70489,  232,1+2+3+4+5+6,
( 11/3 | -1/3 ), 3.66667,-0.33333,  9.05773,  4.27867,  232,1+2+3+4+5+6,
(-10/3 | 11/3 ),-3.33333, 3.66667, -8.23430,  5.70489,  232,1+2+3+4+5+6,
(-11/3 | 10/3 ),-3.66667, 3.33333, -9.05773,  4.27867,  232,1+2+3+4+5+6,
(  1/3 |-11/3 ), 0.33333,-3.66667,  0.82343, -9.98356,  232,1+2+3+4+5+6,
( -1/3 |-10/3 ),-0.33333,-3.33333, -0.82343, -9.98356,  232,1+2+3+4+5+6,
( 13/4 |  1/2 ), 3.25000, 0.50000,  8.02845,  6.06145,  233,        4+5,
( 15/4 | -1/2 ), 3.75000,-0.50000,  9.26359,  3.92211,  233,        4+5,
(-13/4 | 15/4 ),-3.25000, 3.75000, -8.02845,  6.06145,  233,        3+6,
(-15/4 | 13/4 ),-3.75000, 3.25000, -9.26359,  3.92211,  233,        3+6,
(  1/2 |-15/4 ), 0.50000,-3.75000,  1.23515, -9.98356,  233,        1+2,
( -1/2 |-13/4 ),-0.50000,-3.25000, -1.23515, -9.98356,  233,        1+2,
(  1/2 | 13/4 ), 0.50000, 3.25000,  1.23515,  9.98356,  234,        1+2,
( -1/2 | 15/4 ),-0.50000, 3.75000, -1.23515,  9.98356,  234,        1+2,
( 15/4 |-13/4 ), 3.75000,-3.25000,  9.26359, -3.92211,  234,        3+6,
( 13/4 |-15/4 ), 3.25000,-3.75000,  8.02845, -6.06145,  234,        3+6,
(-15/4 |  1/2 ),-3.75000, 0.50000, -9.26359, -3.92211,  234,        4+5,
(-13/4 | -1/2 ),-3.25000,-0.50000, -8.02845, -6.06145,  234,        4+5,
( 23/12| 13/6 ), 1.91667, 2.16667,  4.73472,  8.91390,  235,        4+5,
(-23/12| 49/12),-1.91667, 4.08333, -4.73472,  8.91390,  235,        3+6,
( 49/12|-13/6 ), 4.08333,-2.16667, 10.08702, -0.35656,  235,        4+5,
( 13/6 |-49/12), 2.16667,-4.08333,  5.35230, -8.55734,  235,        1+2,
(-49/12| 23/12),-4.08333, 1.91667,-10.08702, -0.35656,  235,        3+6,
(-13/6 |-23/12),-2.16667,-1.91667, -5.35230, -8.55734,  235,        1+2,
( 13/6 | 23/12), 2.16667, 1.91667,  5.35230,  8.55734,  236,        1+2,
( 49/12|-23/12), 4.08333,-1.91667, 10.08702,  0.35656,  236,        3+6,
(-13/6 | 49/12),-2.16667, 4.08333, -5.35230,  8.55734,  236,        1+2,
(-49/12| 13/6 ),-4.08333, 2.16667,-10.08702,  0.35656,  236,        4+5,
( 23/12|-49/12), 1.91667,-4.08333,  4.73472, -8.91390,  236,        3+6,
(-23/12|-13/6 ),-1.91667,-2.16667, -4.73472, -8.91390,  236,        4+5,
( 19/6 |  2/3 ), 3.16667, 0.66667,  7.82259,  6.41800,  237,        4+5,
( 23/6 | -2/3 ), 3.83333,-0.66667,  9.46945,  3.56556,  237,        4+5,
(-19/6 | 23/6 ),-3.16667, 3.83333, -7.82259,  6.41800,  237,        3+6,
(-23/6 | 19/6 ),-3.83333, 3.16667, -9.46945,  3.56556,  237,        3+6,
(  2/3 |-23/6 ), 0.66667,-3.83333,  1.64686, -9.98356,  237,        1+2,
( -2/3 |-19/6 ),-0.66667,-3.16667, -1.64686, -9.98356,  237,        1+2,
(  2/3 | 19/6 ), 0.66667, 3.16667,  1.64686,  9.98356,  238,        1+2,
( -2/3 | 23/6 ),-0.66667, 3.83333, -1.64686,  9.98356,  238,        1+2,
( 23/6 |-19/6 ), 3.83333,-3.16667,  9.46945, -3.56556,  238,        3+6,
( 19/6 |-23/6 ), 3.16667,-3.83333,  7.82259, -6.41800,  238,        3+6,
(-23/6 |  2/3 ),-3.83333, 0.66667, -9.46945, -3.56556,  238,        4+5,
(-19/6 | -2/3 ),-3.16667,-0.66667, -7.82259, -6.41800,  238,        4+5,
( 37/12|  5/6 ), 3.08333, 0.83333,  7.61673,  6.77456,  239,        4+5,
( 47/12| -5/6 ), 3.91667,-0.83333,  9.67531,  3.20900,  239,        4+5,
(-37/12| 47/12),-3.08333, 3.91667, -7.61673,  6.77456,  239,        3+6,
(-47/12| 37/12),-3.91667, 3.08333, -9.67531,  3.20900,  239,        3+6,
(  5/6 |-47/12), 0.83333,-3.91667,  2.05858, -9.98356,  239,        1+2,
( -5/6 |-37/12),-0.83333,-3.08333, -2.05858, -9.98356,  239,        1+2,
(  5/6 | 37/12), 0.83333, 3.08333,  2.05858,  9.98356,  240,        1+2,
( -5/6 | 47/12),-0.83333, 3.91667, -2.05858,  9.98356,  240,        1+2,
( 47/12|-37/12), 3.91667,-3.08333,  9.67531, -3.20900,  240,        3+6,
( 37/12|-47/12), 3.08333,-3.91667,  7.61673, -6.77456,  240,        3+6,
(-47/12|  5/6 ),-3.91667, 0.83333, -9.67531, -3.20900,  240,        4+5,
(-37/12| -5/6 ),-3.08333,-0.83333, -7.61673, -6.77456,  240,        4+5,
(  1   |  3   ), 1.00000, 3.00000,  2.47029,  9.98356,  241,1+2+3+4+5+6,
( -1   |  4   ),-1.00000, 4.00000, -2.47029,  9.98356,  241,1+2+3+4+5+6,
(  4   | -3   ), 4.00000,-3.00000,  9.88116, -2.85245,  241,1+2+3+4+5+6,
(  3   | -4   ), 3.00000,-4.00000,  7.41087, -7.13112,  241,1+2+3+4+5+6,
( -4   |  1   ),-4.00000, 1.00000, -9.88116, -2.85245,  241,1+2+3+4+5+6,
( -3   | -1   ),-3.00000,-1.00000, -7.41087, -7.13112,  241,1+2+3+4+5+6,
(  3   |  1   ), 3.00000, 1.00000,  7.41087,  7.13112,  242,1+2+3+4+5+6,
(  4   | -1   ), 4.00000,-1.00000,  9.88116,  2.85245,  242,1+2+3+4+5+6,
( -3   |  4   ),-3.00000, 4.00000, -7.41087,  7.13112,  242,1+2+3+4+5+6,
( -4   |  3   ),-4.00000, 3.00000, -9.88116,  2.85245,  242,1+2+3+4+5+6,
(  1   | -4   ), 1.00000,-4.00000,  2.47029, -9.98356,  242,1+2+3+4+5+6,
( -1   | -3   ),-1.00000,-3.00000, -2.47029, -9.98356,  242,1+2+3+4+5+6,
( 25/12| 25/12), 2.08333, 2.08333,  5.14644,  8.91390,  243,        3+6,
( 25/6 |-25/12), 4.16667,-2.08333, 10.29288, -0.00000,  243,        1+2,
(-25/12| 25/6 ),-2.08333, 4.16667, -5.14644,  8.91390,  243,        4+5,
( 25/12|-25/6 ), 2.08333,-4.16667,  5.14644, -8.91390,  243,        4+5,
(-25/6 | 25/12),-4.16667, 2.08333,-10.29288,  0.00000,  243,        1+2,
(-25/12|-25/12),-2.08333,-2.08333, -5.14644, -8.91390,  243,        3+6,
( 11/6 |  7/3 ), 1.83333, 2.33333,  4.52887,  9.27045,  244,        4+5,
(-11/6 | 25/6 ),-1.83333, 4.16667, -4.52887,  9.27045,  244,        3+6,
( 25/6 | -7/3 ), 4.16667,-2.33333, 10.29288, -0.71311,  244,        4+5,
(  7/3 |-25/6 ), 2.33333,-4.16667,  5.76401, -8.55734,  244,        1+2,
(-25/6 | 11/6 ),-4.16667, 1.83333,-10.29288, -0.71311,  244,        3+6,
( -7/3 |-11/6 ),-2.33333,-1.83333, -5.76401, -8.55734,  244,        1+2,
(  7/3 | 11/6 ), 2.33333, 1.83333,  5.76401,  8.55734,  245,        1+2,
( 25/6 |-11/6 ), 4.16667,-1.83333, 10.29288,  0.71311,  245,        3+6,
( -7/3 | 25/6 ),-2.33333, 4.16667, -5.76401,  8.55734,  245,        1+2,
(-25/6 |  7/3 ),-4.16667, 2.33333,-10.29288,  0.71311,  245,        4+5,
( 11/6 |-25/6 ), 1.83333,-4.16667,  4.52887, -9.27045,  245,        3+6,
(-11/6 | -7/3 ),-1.83333,-2.33333, -4.52887, -9.27045,  245,        4+5,
(  7/2 |  1/4 ), 3.50000, 0.25000,  8.64602,  5.70489,  246,        1+2,
( 15/4 | -1/4 ), 3.75000,-0.25000,  9.26359,  4.63523,  246,        3+6,
( -7/2 | 15/4 ),-3.50000, 3.75000, -8.64602,  5.70489,  246,        1+2,
(-15/4 |  7/2 ),-3.75000, 3.50000, -9.26359,  4.63523,  246,        4+5,
(  1/4 |-15/4 ), 0.25000,-3.75000,  0.61757,-10.34012,  246,        3+6,
( -1/4 | -7/2 ),-0.25000,-3.50000, -0.61757,-10.34012,  246,        4+5,
(  1/4 |  7/2 ), 0.25000, 3.50000,  0.61757, 10.34012,  247,        4+5,
( -1/4 | 15/4 ),-0.25000, 3.75000, -0.61757, 10.34012,  247,        3+6,
( 15/4 | -7/2 ), 3.75000,-3.50000,  9.26359, -4.63523,  247,        4+5,
(  7/2 |-15/4 ), 3.50000,-3.75000,  8.64602, -5.70489,  247,        1+2,
(-15/4 |  1/4 ),-3.75000, 0.25000, -9.26359, -4.63523,  247,        3+6,
( -7/2 | -1/4 ),-3.50000,-0.25000, -8.64602, -5.70489,  247,        1+2,
(  7/6 | 35/12), 1.16667, 2.91667,  2.88201,  9.98356,  248,        1+2,
( -7/6 | 49/12),-1.16667, 4.08333, -2.88201,  9.98356,  248,        1+2,
( 49/12|-35/12), 4.08333,-2.91667, 10.08702, -2.49589,  248,        3+6,
( 35/12|-49/12), 2.91667,-4.08333,  7.20502, -7.48767,  248,        3+6,
(-49/12|  7/6 ),-4.08333, 1.16667,-10.08702, -2.49589,  248,        4+5,
(-35/12| -7/6 ),-2.91667,-1.16667, -7.20502, -7.48767,  248,        4+5,
( 19/12| 31/12), 1.58333, 2.58333,  3.91129,  9.62701,  249,        3+6,
(-19/12| 25/6 ),-1.58333, 4.16667, -3.91129,  9.62701,  249,        4+5,
( 25/6 |-31/12), 4.16667,-2.58333, 10.29288, -1.42622,  249,        1+2,
( 31/12|-25/6 ), 2.58333,-4.16667,  6.38159, -8.20078,  249,        4+5,
(-25/6 | 19/12),-4.16667, 1.58333,-10.29288, -1.42622,  249,        1+2,
(-31/12|-19/12),-2.58333,-1.58333, -6.38159, -8.20078,  249,        3+6,
( 31/12| 19/12), 2.58333, 1.58333,  6.38159,  8.20078,  250,        3+6,
( 25/6 |-19/12), 4.16667,-1.58333, 10.29288,  1.42622,  250,        1+2,
(-31/12| 25/6 ),-2.58333, 4.16667, -6.38159,  8.20078,  250,        4+5,
(-25/6 | 31/12),-4.16667, 2.58333,-10.29288,  1.42622,  250,        1+2,
( 19/12|-25/6 ), 1.58333,-4.16667,  3.91129, -9.62701,  250,        4+5,
(-19/12|-31/12),-1.58333,-2.58333, -3.91129, -9.62701,  250,        3+6,
(  5/12| 41/12), 0.41667, 3.41667,  1.02929, 10.34012,  251,        3+6,
( -5/12| 23/6 ),-0.41667, 3.83333, -1.02929, 10.34012,  251,        4+5,
( 23/6 |-41/12), 3.83333,-3.41667,  9.46945, -4.27867,  251,        1+2,
( 41/12|-23/6 ), 3.41667,-3.83333,  8.44016, -6.06145,  251,        4+5,
(-23/6 |  5/12),-3.83333, 0.41667, -9.46945, -4.27867,  251,        1+2,
(-41/12| -5/12),-3.41667,-0.41667, -8.44016, -6.06145,  251,        3+6,
( 41/12|  5/12), 3.41667, 0.41667,  8.44016,  6.06145,  252,        3+6,
( 23/6 | -5/12), 3.83333,-0.41667,  9.46945,  4.27867,  252,        1+2,
(-41/12| 23/6 ),-3.41667, 3.83333, -8.44016,  6.06145,  252,        4+5,
(-23/6 | 41/12),-3.83333, 3.41667, -9.46945,  4.27867,  252,        1+2,
(  5/12|-23/6 ), 0.41667,-3.83333,  1.02929,-10.34012,  252,        4+5,
( -5/12|-41/12),-0.41667,-3.41667, -1.02929,-10.34012,  252,        3+6,
( 35/12|  7/6 ), 2.91667, 1.16667,  7.20502,  7.48767,  253,        4+5,
( 49/12| -7/6 ), 4.08333,-1.16667, 10.08702,  2.49589,  253,        4+5,
(-35/12| 49/12),-2.91667, 4.08333, -7.20502,  7.48767,  253,        3+6,
(-49/12| 35/12),-4.08333, 2.91667,-10.08702,  2.49589,  253,        3+6,
(  7/6 |-49/12), 1.16667,-4.08333,  2.88201, -9.98356,  253,        1+2,
( -7/6 |-35/12),-1.16667,-2.91667, -2.88201, -9.98356,  253,        1+2,
( 17/6 |  4/3 ), 2.83333, 1.33333,  6.99916,  7.84423,  254,        4+5,
( 25/6 | -4/3 ), 4.16667,-1.33333, 10.29288,  2.13933,  254,        4+5,
(-17/6 | 25/6 ),-2.83333, 4.16667, -6.99916,  7.84423,  254,        3+6,
(-25/6 | 17/6 ),-4.16667, 2.83333,-10.29288,  2.13933,  254,        3+6,
(  4/3 |-25/6 ), 1.33333,-4.16667,  3.29372, -9.98356,  254,        1+2,
( -4/3 |-17/6 ),-1.33333,-2.83333, -3.29372, -9.98356,  254,        1+2,
(  4/3 | 17/6 ), 1.33333, 2.83333,  3.29372,  9.98356,  255,        1+2,
( -4/3 | 25/6 ),-1.33333, 4.16667, -3.29372,  9.98356,  255,        1+2,
( 25/6 |-17/6 ), 4.16667,-2.83333, 10.29288, -2.13933,  255,        3+6,
( 17/6 |-25/6 ), 2.83333,-4.16667,  6.99916, -7.84423,  255,        3+6,
(-25/6 |  4/3 ),-4.16667, 1.33333,-10.29288, -2.13933,  255,        4+5,
(-17/6 | -4/3 ),-2.83333,-1.33333, -6.99916, -7.84423,  255,        4+5,
(  7/4 |  5/2 ), 1.75000, 2.50000,  4.32301,  9.62701,  256,        4+5,
( -7/4 | 17/4 ),-1.75000, 4.25000, -4.32301,  9.62701,  256,        3+6,
( 17/4 | -5/2 ), 4.25000,-2.50000, 10.49874, -1.06967,  256,        4+5,
(  5/2 |-17/4 ), 2.50000,-4.25000,  6.17573, -8.55734,  256,        1+2,
(-17/4 |  7/4 ),-4.25000, 1.75000,-10.49874, -1.06967,  256,        3+6,
( -5/2 | -7/4 ),-2.50000,-1.75000, -6.17573, -8.55734,  256,        1+2,
(  5/2 |  7/4 ), 2.50000, 1.75000,  6.17573,  8.55734,  257,        1+2,
( 17/4 | -7/4 ), 4.25000,-1.75000, 10.49874,  1.06967,  257,        3+6,
( -5/2 | 17/4 ),-2.50000, 4.25000, -6.17573,  8.55734,  257,        1+2,
(-17/4 |  5/2 ),-4.25000, 2.50000,-10.49874,  1.06967,  257,        4+5,
(  7/4 |-17/4 ), 1.75000,-4.25000,  4.32301, -9.62701,  257,        3+6,
( -7/4 | -5/2 ),-1.75000,-2.50000, -4.32301, -9.62701,  257,        4+5,
( 11/12| 19/6 ), 0.91667, 3.16667,  2.26443, 10.34012,  258,        4+5,
(-11/12| 49/12),-0.91667, 4.08333, -2.26443, 10.34012,  258,        3+6,
( 49/12|-19/6 ), 4.08333,-3.16667, 10.08702, -3.20900,  258,        4+5,
( 19/6 |-49/12), 3.16667,-4.08333,  7.82259, -7.13112,  258,        1+2,
(-49/12| 11/12),-4.08333, 0.91667,-10.08702, -3.20900,  258,        3+6,
(-19/6 |-11/12),-3.16667,-0.91667, -7.82259, -7.13112,  258,        1+2,
( 19/6 | 11/12), 3.16667, 0.91667,  7.82259,  7.13112,  259,        1+2,
( 49/12|-11/12), 4.08333,-0.91667, 10.08702,  3.20900,  259,        3+6,
(-19/6 | 49/12),-3.16667, 4.08333, -7.82259,  7.13112,  259,        1+2,
(-49/12| 19/6 ),-4.08333, 3.16667,-10.08702,  3.20900,  259,        4+5,
( 11/12|-49/12), 0.91667,-4.08333,  2.26443,-10.34012,  259,        3+6,
(-11/12|-19/6 ),-0.91667,-3.16667, -2.26443,-10.34012,  259,        4+5,
( 11/4 |  3/2 ), 2.75000, 1.50000,  6.79330,  8.20078,  260,        4+5,
( 17/4 | -3/2 ), 4.25000,-1.50000, 10.49874,  1.78278,  260,        4+5,
(-11/4 | 17/4 ),-2.75000, 4.25000, -6.79330,  8.20078,  260,        3+6,
(-17/4 | 11/4 ),-4.25000, 2.75000,-10.49874,  1.78278,  260,        3+6,
(  3/2 |-17/4 ), 1.50000,-4.25000,  3.70544, -9.98356,  260,        1+2,
( -3/2 |-11/4 ),-1.50000,-2.75000, -3.70544, -9.98356,  260,        1+2,
(  3/2 | 11/4 ), 1.50000, 2.75000,  3.70544,  9.98356,  261,        1+2,
( -3/2 | 17/4 ),-1.50000, 4.25000, -3.70544,  9.98356,  261,        1+2,
( 17/4 |-11/4 ), 4.25000,-2.75000, 10.49874, -1.78278,  261,        3+6,
( 11/4 |-17/4 ), 2.75000,-4.25000,  6.79330, -8.20078,  261,        3+6,
(-17/4 |  3/2 ),-4.25000, 1.50000,-10.49874, -1.78278,  261,        4+5,
(-11/4 | -3/2 ),-2.75000,-1.50000, -6.79330, -8.20078,  261,        4+5,
( 13/12| 37/12), 1.08333, 3.08333,  2.67615, 10.34012,  262,        3+6,
(-13/12| 25/6 ),-1.08333, 4.16667, -2.67615, 10.34012,  262,        4+5,
( 25/6 |-37/12), 4.16667,-3.08333, 10.29288, -2.85245,  262,        1+2,
( 37/12|-25/6 ), 3.08333,-4.16667,  7.61673, -7.48767,  262,        4+5,
(-25/6 | 13/12),-4.16667, 1.08333,-10.29288, -2.85245,  262,        1+2,
(-37/12|-13/12),-3.08333,-1.08333, -7.61673, -7.48767,  262,        3+6,
( 37/12| 13/12), 3.08333, 1.08333,  7.61673,  7.48767,  263,        3+6,
( 25/6 |-13/12), 4.16667,-1.08333, 10.29288,  2.85245,  263,        1+2,
(-37/12| 25/6 ),-3.08333, 4.16667, -7.61673,  7.48767,  263,        4+5,
(-25/6 | 37/12),-4.16667, 3.08333,-10.29288,  2.85245,  263,        1+2,
( 13/12|-25/6 ), 1.08333,-4.16667,  2.67615,-10.34012,  263,        4+5,
(-13/12|-37/12),-1.08333,-3.08333, -2.67615,-10.34012,  263,        3+6,
( 13/6 | 13/6 ), 2.16667, 2.16667,  5.35230,  9.27045,  264,        3+6,
( 13/3 |-13/6 ), 4.33333,-2.16667, 10.70459, -0.00000,  264,        1+2,
(-13/6 | 13/3 ),-2.16667, 4.33333, -5.35230,  9.27045,  264,        4+5,
( 13/6 |-13/3 ), 2.16667,-4.33333,  5.35230, -9.27045,  264,        4+5,
(-13/3 | 13/6 ),-4.33333, 2.16667,-10.70459,  0.00000,  264,        1+2,
(-13/6 |-13/6 ),-2.16667,-2.16667, -5.35230, -9.27045,  264,        3+6,
(  1/6 | 11/3 ), 0.16667, 3.66667,  0.41172, 10.69667,  265,        4+5,
( -1/6 | 23/6 ),-0.16667, 3.83333, -0.41172, 10.69667,  265,        3+6,
( 23/6 |-11/3 ), 3.83333,-3.66667,  9.46945, -4.99178,  265,        4+5,
( 11/3 |-23/6 ), 3.66667,-3.83333,  9.05773, -5.70489,  265,        1+2,
(-23/6 |  1/6 ),-3.83333, 0.16667, -9.46945, -4.99178,  265,        3+6,
(-11/3 | -1/6 ),-3.66667,-0.16667, -9.05773, -5.70489,  265,        1+2,
( 11/3 |  1/6 ), 3.66667, 0.16667,  9.05773,  5.70489,  266,        1+2,
( 23/6 | -1/6 ), 3.83333,-0.16667,  9.46945,  4.99178,  266,        3+6,
(-11/3 | 23/6 ),-3.66667, 3.83333, -9.05773,  5.70489,  266,        1+2,
(-23/6 | 11/3 ),-3.83333, 3.66667, -9.46945,  4.99178,  266,        4+5,
(  1/6 |-23/6 ), 0.16667,-3.83333,  0.41172,-10.69667,  266,        3+6,
( -1/6 |-11/3 ),-0.16667,-3.66667, -0.41172,-10.69667,  266,        4+5,
(  7/2 |  1/2 ), 3.50000, 0.50000,  8.64602,  6.41800,  267,        3+6,
(  4   | -1/2 ), 4.00000,-0.50000,  9.88116,  4.27867,  267,        1+2,
( -7/2 |  4   ),-3.50000, 4.00000, -8.64602,  6.41800,  267,        4+5,
( -4   |  7/2 ),-4.00000, 3.50000, -9.88116,  4.27867,  267,        1+2,
(  1/2 | -4   ), 0.50000,-4.00000,  1.23515,-10.69667,  267,        4+5,
( -1/2 | -7/2 ),-0.50000,-3.50000, -1.23515,-10.69667,  267,        3+6,
(  1/2 |  7/2 ), 0.50000, 3.50000,  1.23515, 10.69667,  268,        3+6,
( -1/2 |  4   ),-0.50000, 4.00000, -1.23515, 10.69667,  268,        4+5,
(  4   | -7/2 ), 4.00000,-3.50000,  9.88116, -4.27867,  268,        1+2,
(  7/2 | -4   ), 3.50000,-4.00000,  8.64602, -6.41800,  268,        4+5,
( -4   |  1/2 ),-4.00000, 0.50000, -9.88116, -4.27867,  268,        1+2,
( -7/2 | -1/2 ),-3.50000,-0.50000, -8.64602, -6.41800,  268,        3+6,
(  5/3 |  8/3 ), 1.66667, 2.66667,  4.11715,  9.98356,  269,1+2+3+4+5+6,
( -5/3 | 13/3 ),-1.66667, 4.33333, -4.11715,  9.98356,  269,1+2+3+4+5+6,
( 13/3 | -8/3 ), 4.33333,-2.66667, 10.70459, -1.42622,  269,1+2+3+4+5+6,
(  8/3 |-13/3 ), 2.66667,-4.33333,  6.58744, -8.55734,  269,1+2+3+4+5+6,
(-13/3 |  5/3 ),-4.33333, 1.66667,-10.70459, -1.42622,  269,1+2+3+4+5+6,
( -8/3 | -5/3 ),-2.66667,-1.66667, -6.58744, -8.55734,  269,1+2+3+4+5+6,
(  8/3 |  5/3 ), 2.66667, 1.66667,  6.58744,  8.55734,  270,1+2+3+4+5+6,
( 13/3 | -5/3 ), 4.33333,-1.66667, 10.70459,  1.42622,  270,1+2+3+4+5+6,
( -8/3 | 13/3 ),-2.66667, 4.33333, -6.58744,  8.55734,  270,1+2+3+4+5+6,
(-13/3 |  8/3 ),-4.33333, 2.66667,-10.70459,  1.42622,  270,1+2+3+4+5+6,
(  5/3 |-13/3 ), 1.66667,-4.33333,  4.11715, -9.98356,  270,1+2+3+4+5+6,
( -5/3 | -8/3 ),-1.66667,-2.66667, -4.11715, -9.98356,  270,1+2+3+4+5+6,
( 10/3 |  5/6 ), 3.33333, 0.83333,  8.23430,  7.13112,  271,        1+2,
( 25/6 | -5/6 ), 4.16667,-0.83333, 10.29288,  3.56556,  271,        3+6,
(-10/3 | 25/6 ),-3.33333, 4.16667, -8.23430,  7.13112,  271,        1+2,
(-25/6 | 10/3 ),-4.16667, 3.33333,-10.29288,  3.56556,  271,        4+5,
(  5/6 |-25/6 ), 0.83333,-4.16667,  2.05858,-10.69667,  271,        3+6,
( -5/6 |-10/3 ),-0.83333,-3.33333, -2.05858,-10.69667,  271,        4+5,
(  5/6 | 10/3 ), 0.83333, 3.33333,  2.05858, 10.69667,  272,        4+5,
( -5/6 | 25/6 ),-0.83333, 4.16667, -2.05858, 10.69667,  272,        3+6,
( 25/6 |-10/3 ), 4.16667,-3.33333, 10.29288, -3.56556,  272,        4+5,
( 10/3 |-25/6 ), 3.33333,-4.16667,  8.23430, -7.13112,  272,        1+2,
(-25/6 |  5/6 ),-4.16667, 0.83333,-10.29288, -3.56556,  272,        3+6,
(-10/3 | -5/6 ),-3.33333,-0.83333, -8.23430, -7.13112,  272,        1+2,
