frame_time (ms)    exposure (ms)       time for 20 frames (s)
-------------------------------------------------------------
      31              100                  2.294994178
	1000              100                 20.112630548
	 100              100                  2.295323698
	 200              100                  4.113450502

################################   CONTINUOUS  ################################

exposure (ms) | size (px x px) | average frame time (ms) | extra time 1st (ms)
       5      |   528 x  400   |                 |
       5      |   528 x  300   |       152       |
       5      |   528 x  100   |      >200       |
       5      |   528 x   72   |      >200       |
       5      |   528 x   68   |       171       |
       5      |   528 x   60   |       100       |
       5      |   528 x   20   |       100       |
       5      |   528 x   16   |       100       |
       5      |   528 x    4   |       100       |
      10      |  2048 x 1536   |        70       |
      10      |  1808 x 1536   |                 |
      10      |  1536 x 1536   |        69       |
      10      |  1200 x 1536   |        69       |
      10      |   896 x 1536   |        67       |
      10      |   528 x 1536   |        65       |
      10      |   528 x 1400   |        67       |
      10      |   528 x 1000   |        90       |
      10      |   528 x  700   |       125       |
      10      |   528 x  500   |       180       |
      10      |   528 x  400   |      >200       |
      10      |   528 x  300   |                 |
      10      |   528 x  100   |                 |
      10      |   528 x   20   |      >200       |
      10      |   528 x   16   |       129       |
      10      |   528 x    4   |       100       |
      20      |  2048 x 1536   |        70       |
      20      |  1808 x 1536   |        70       |
      20      |  1536 x 1536   |        69       |
      20      |  1200 x 1536   |        69       |
      20      |   896 x 1536   |        74       |
      20      |   528 x 1536   |       119       |
      20      |   528 x 1400   |       129       |
      20      |   528 x 1000   |       180       |
      20      |   528 x  700   |      >200       |
      20      |   528 x  500   |                 |
      20      |   528 x  400   |                 |
      20      |   528 x  300   |      >200       |
      20      |   528 x  100   |                 |
      20      |   528 x    4   |      >200       |
      40      |  2048 x 1536   |        70       |
      40      |  1808 x 1536   |        76       |
      40      |  1536 x 1536   |        87       |
      40      |  1200 x 1536   |       108       |
      40      |   896 x 1536   |       139       |
      40      |   528 x 1536   |      >200       |
      40      |   528 x 1400   |                 |
      40      |   528 x 1000   |                 |
      40      |   528 x  700   |                 |
      40      |   528 x  500   |                 |
      40      |   528 x  400   |                 |
      40      |   528 x  300   |                 |
      40      |   528 x  100   |                 |
      40      |   528 x    4   |      >200       |
     100      |  2048 x 1536   |       153       |
     100      |  1808 x 1536   |       172       |
     100      |  1536 x 1536   |      >200       |
     100      |  1200 x 1536   |                 |
     100      |   896 x 1536   |                 |
     100      |   528 x 1536   |                 |
