energy,(0|-1) [-1],(0|1) [-2],(1|0) [3],(1|-1) [4],(1|1) [5],(0|-2) [6],(0|2) [7],(2|0) [8],(1|-2) [9],(1|2) [10],(2|-1) [11],(2|1) [12],(2|-2) [13],(2|2) [14],(0|-3) [-15],(1|-3) [17],(1|3) [18],(3|0) [19],(3|-1) [20],(3|1) [21],(2|-3) [22],(2|3) [23],(3|-2) [24],(3|2) [25],(0|-4) [26],(0|4) [27],(1|-4) [28],(1|4) [29],(4|0) [30],(3|-3) [31],(3|3) [32],(4|-1) [33],(4|1) [34],(2|4) [36],(4|2) [38],(1|5) [42],(4|-3) [45],(4|3) [46],(4|4) [55],(3|5) [57],(0|-6) [58],
501.50,NaN,NaN,NaN,16.842396,NaN,14.915054,NaN,13.108912,NaN,7.1010847,18.255814,NaN,4.504476,10.66709,NaN,5.8189015,29.495737,0.8279002,2.3625972,31.596361,10.336614,NaN,3.7473757,NaN,11.04165,4.4853964,1.236306,2.0620975,8.963674,2.8781097,23.873793,2.166567,4.1077094,7.997963,1.39266,NaN,NaN,NaN,NaN,NaN,NaN,
502.00,NaN,NaN,NaN,16.515602,NaN,14.795445,NaN,12.660558,NaN,7.6083274,19.538015,NaN,4.9072247,10.814362,NaN,5.1352134,28.080833,0.9779642,2.242047,29.770542,9.644167,NaN,3.6484334,NaN,11.100596,4.327249,1.3395442,1.8717638,9.938021,2.4971454,24.712124,2.4319503,4.410403,7.7971134,1.3024328,NaN,NaN,NaN,NaN,NaN,NaN,
502.50,NaN,NaN,NaN,16.261984,NaN,14.659196,NaN,12.225795,NaN,8.14654,20.711346,NaN,5.2852254,11.053984,NaN,4.49906,26.719566,1.1442924,2.162496,27.890926,8.933392,NaN,3.5575032,NaN,11.050626,4.176301,1.4617808,1.6952039,10.973589,2.138434,25.615343,2.732648,4.7375364,7.565495,1.2241702,NaN,NaN,NaN,NaN,NaN,NaN,
503.00,NaN,NaN,NaN,16.07579,NaN,14.496303,NaN,11.812257,NaN,8.706358,21.72126,NaN,5.6263885,11.394106,NaN,3.9184327,25.41666,1.3271159,2.122146,25.994894,8.214629,NaN,3.4772131,NaN,10.892242,4.0254602,1.6111273,1.530669,12.050259,1.8037803,26.59141,3.056486,5.084361,7.302507,1.158168,NaN,NaN,NaN,NaN,NaN,NaN,
503.50,NaN,NaN,NaN,15.948921,NaN,14.302332,NaN,11.42707,NaN,9.277133,22.518011,NaN,5.9213743,11.838337,NaN,3.40071,24.180048,1.5266955,2.1185722,24.118607,7.500267,NaN,3.4090912,NaN,10.633814,3.869782,1.7971512,1.3771707,13.141719,1.4964738,27.647314,3.3893526,5.445006,7.009348,1.1048635,NaN,NaN,NaN,NaN,NaN,NaN,
504.00,NaN,NaN,NaN,15.874389,NaN,14.077875,NaN,11.075683,NaN,9.847446,23.061657,NaN,6.164238,12.38413,NaN,2.9519598,23.020967,1.7431711,2.1486695,22.294691,6.8045106,NaN,3.3535142,NaN,10.290605,3.7064269,2.0300443,1.2344564,14.216619,1.2207875,28.785978,3.7162728,5.812487,6.689081,1.064703,NaN,NaN,NaN,NaN,NaN,NaN,
504.50,NaN,NaN,NaN,15.848501,NaN,13.827187,NaN,10.760983,NaN,10.405396,23.326235,NaN,6.3528185,13.02238,NaN,2.5763233,21.953373,1.9763298,2.2086215,20.550327,6.142811,NaN,3.309751,NaN,9.883228,3.534577,2.3195114,1.1028465,15.24012,0.98136187,30.003563,4.022603,6.1788564,6.3465767,1.0379922,NaN,NaN,NaN,NaN,NaN,NaN,
505.00,NaN,NaN,NaN,15.871752,NaN,13.55635,NaN,10.482864,NaN,10.938744,23.302687,NaN,6.488826,13.738086,NaN,2.2755485,20.99272,2.2253056,2.2939317,18.90589,5.530977,NaN,3.276088,NaN,9.435728,3.3552806,2.6734612,0.98297745,16.17575,0.78258795,31.287794,4.2952094,6.535489,5.9883304,1.0247527,NaN,NaN,NaN,NaN,NaN,NaN,
505.50,NaN,NaN,NaN,15.948935,NaN,13.27136,NaN,10.238251,NaN,11.435134,23.000208,NaN,6.5776196,14.511699,NaN,2.0487368,20.154282,2.4882405,2.3995192,17.374268,4.9840755,NaN,3.2500176,NaN,8.973506,3.1711974,3.0966635,0.8755125,16.98745,0.6280922,32.617817,4.5234776,6.873503,5.622165,1.0245942,NaN,NaN,NaN,NaN,NaN,NaN,
506.00,NaN,NaN,NaN,16.088568,NaN,12.976511,NaN,10.021595,NaN,11.882638,22.445911,NaN,6.627705,15.320828,NaN,1.8923035,19.451223,2.7619565,2.5198965,15.960873,4.515241,NaN,3.228477,NaN,8.521332,2.9862628,3.5895655,0.7808714,17.641773,0.5203877,33.96571,4.700033,7.184269,5.2568383,1.0366161,NaN,NaN,NaN,NaN,NaN,NaN,
