# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  6/5 |-12/5 ), 1.20000,-2.40000,  2.72570, -4.72105,  280,        1,
(-12/5 |  6/5 ),-2.40000, 1.20000, -5.45139,  0.00000,  280,        1,
( -6/5 | -6/5 ),-1.20000,-1.20000, -2.72570, -4.72105,  280,        1,
( 11/10| 13/10), 1.10000, 1.30000,  2.49856,  4.85219,  281,        1,
(-11/10| 12/5 ),-1.10000, 2.40000, -2.49856,  4.85219,  281,        1,
( 12/5 |-13/10), 2.40000,-1.30000,  5.45139, -0.26228,  281,        1,
( 13/10|-12/5 ), 1.30000,-2.40000,  2.95284, -4.58991,  281,        1,
(-12/5 | 11/10),-2.40000, 1.10000, -5.45139, -0.26228,  281,        1,
(-13/10|-11/10),-1.30000,-1.10000, -2.95284, -4.58991,  281,        1,
( 13/10| 11/10), 1.30000, 1.10000,  2.95284,  4.58991,  282,        1,
( 12/5 |-11/10), 2.40000,-1.10000,  5.45139,  0.26228,  282,        1,
(-13/10| 12/5 ),-1.30000, 2.40000, -2.95284,  4.58991,  282,        1,
(-12/5 | 13/10),-2.40000, 1.30000, -5.45139,  0.26228,  282,        1,
( 11/10|-12/5 ), 1.10000,-2.40000,  2.49856, -4.85219,  282,        1,
(-11/10|-13/10),-1.10000,-1.30000, -2.49856, -4.85219,  282,        1,
(  1   |  7/5 ), 1.00000, 1.40000,  2.27141,  4.98333,  283,        1,
( -1   | 12/5 ),-1.00000, 2.40000, -2.27141,  4.98333,  283,        1,
( 12/5 | -7/5 ), 2.40000,-1.40000,  5.45139, -0.52456,  283,        1,
(  7/5 |-12/5 ), 1.40000,-2.40000,  3.17998, -4.45876,  283,        1,
(-12/5 |  1   ),-2.40000, 1.00000, -5.45139, -0.52456,  283,        1,
( -7/5 | -1   ),-1.40000,-1.00000, -3.17998, -4.45876,  283,        1,
(  7/5 |  1   ), 1.40000, 1.00000,  3.17998,  4.45876,  284,        1,
( 12/5 | -1   ), 2.40000,-1.00000,  5.45139,  0.52456,  284,        1,
( -7/5 | 12/5 ),-1.40000, 2.40000, -3.17998,  4.45876,  284,        1,
(-12/5 |  7/5 ),-2.40000, 1.40000, -5.45139,  0.52456,  284,        1,
(  1   |-12/5 ), 1.00000,-2.40000,  2.27141, -4.98333,  284,        1,
( -1   | -7/5 ),-1.00000,-1.40000, -2.27141, -4.98333,  284,        1,
(  9/5 |  1/2 ), 1.80000, 0.50000,  4.08855,  3.67192,  285,        1,
( 23/10| -1/2 ), 2.30000,-0.50000,  5.22425,  1.70482,  285,        1,
( -9/5 | 23/10),-1.80000, 2.30000, -4.08855,  3.67192,  285,        1,
(-23/10|  9/5 ),-2.30000, 1.80000, -5.22425,  1.70482,  285,        1,
(  1/2 |-23/10), 0.50000,-2.30000,  1.13571, -5.37675,  285,        1,
( -1/2 | -9/5 ),-0.50000,-1.80000, -1.13571, -5.37675,  285,        1,
(  1/2 |  9/5 ), 0.50000, 1.80000,  1.13571,  5.37675,  286,        1,
( -1/2 | 23/10),-0.50000, 2.30000, -1.13571,  5.37675,  286,        1,
( 23/10| -9/5 ), 2.30000,-1.80000,  5.22425, -1.70482,  286,        1,
(  9/5 |-23/10), 1.80000,-2.30000,  4.08855, -3.67192,  286,        1,
(-23/10|  1/2 ),-2.30000, 0.50000, -5.22425, -1.70482,  286,        1,
( -9/5 | -1/2 ),-1.80000,-0.50000, -4.08855, -3.67192,  286,        1,
(  9/10|  3/2 ), 0.90000, 1.50000,  2.04427,  5.11447,  287,        1,
( -9/10| 12/5 ),-0.90000, 2.40000, -2.04427,  5.11447,  287,        1,
( 12/5 | -3/2 ), 2.40000,-1.50000,  5.45139, -0.78684,  287,        1,
(  3/2 |-12/5 ), 1.50000,-2.40000,  3.40712, -4.32762,  287,        1,
(-12/5 |  9/10),-2.40000, 0.90000, -5.45139, -0.78684,  287,        1,
( -3/2 | -9/10),-1.50000,-0.90000, -3.40712, -4.32762,  287,        1,
(  3/2 |  9/10), 1.50000, 0.90000,  3.40712,  4.32762,  288,        1,
( 12/5 | -9/10), 2.40000,-0.90000,  5.45139,  0.78684,  288,        1,
( -3/2 | 12/5 ),-1.50000, 2.40000, -3.40712,  4.32762,  288,        1,
(-12/5 |  3/2 ),-2.40000, 1.50000, -5.45139,  0.78684,  288,        1,
(  9/10|-12/5 ), 0.90000,-2.40000,  2.04427, -5.11447,  288,        1,
( -9/10| -3/2 ),-0.90000,-1.50000, -2.04427, -5.11447,  288,        1,
(  0   | 21/10), 0.00000, 2.10000,  0.00000,  5.50789,  289,        1,
( 21/10|-21/10), 2.10000,-2.10000,  4.76997, -2.75394,  289,        1,
(-21/10|  0   ),-2.10000, 0.00000, -4.76997, -2.75394,  289,        1,
( 21/10|  0   ), 2.10000, 0.00000,  4.76997,  2.75394,  290,        1,
(-21/10| 21/10),-2.10000, 2.10000, -4.76997,  2.75394,  290,        1,
(  0   |-21/10), 0.00000,-2.10000,  0.00000, -5.50789,  290,        1,
(  2   |  1/5 ), 2.00000, 0.20000,  4.54283,  3.14736,  291,        1,
( 11/5 | -1/5 ), 2.20000,-0.20000,  4.99711,  2.36052,  291,        1,
( -2   | 11/5 ),-2.00000, 2.20000, -4.54283,  3.14736,  291,        1,
(-11/5 |  2   ),-2.20000, 2.00000, -4.99711,  2.36052,  291,        1,
(  1/5 |-11/5 ), 0.20000,-2.20000,  0.45428, -5.50789,  291,        1,
( -1/5 | -2   ),-0.20000,-2.00000, -0.45428, -5.50789,  291,        1,
(  1/5 |  2   ), 0.20000, 2.00000,  0.45428,  5.50789,  292,        1,
( -1/5 | 11/5 ),-0.20000, 2.20000, -0.45428,  5.50789,  292,        1,
( 11/5 | -2   ), 2.20000,-2.00000,  4.99711, -2.36052,  292,        1,
(  2   |-11/5 ), 2.00000,-2.20000,  4.54283, -3.14736,  292,        1,
(-11/5 |  1/5 ),-2.20000, 0.20000, -4.99711, -2.36052,  292,        1,
( -2   | -1/5 ),-2.00000,-0.20000, -4.54283, -3.14736,  292,        1,
(  4/5 |  8/5 ), 0.80000, 1.60000,  1.81713,  5.24561,  293,        1,
( -4/5 | 12/5 ),-0.80000, 2.40000, -1.81713,  5.24561,  293,        1,
( 12/5 | -8/5 ), 2.40000,-1.60000,  5.45139, -1.04912,  293,        1,
(  8/5 |-12/5 ), 1.60000,-2.40000,  3.63426, -4.19648,  293,        1,
(-12/5 |  4/5 ),-2.40000, 0.80000, -5.45139, -1.04912,  293,        1,
( -8/5 | -4/5 ),-1.60000,-0.80000, -3.63426, -4.19648,  293,        1,
(  8/5 |  4/5 ), 1.60000, 0.80000,  3.63426,  4.19648,  294,        1,
( 12/5 | -4/5 ), 2.40000,-0.80000,  5.45139,  1.04912,  294,        1,
( -8/5 | 12/5 ),-1.60000, 2.40000, -3.63426,  4.19648,  294,        1,
(-12/5 |  8/5 ),-2.40000, 1.60000, -5.45139,  1.04912,  294,        1,
(  4/5 |-12/5 ), 0.80000,-2.40000,  1.81713, -5.24561,  294,        1,
( -4/5 | -8/5 ),-0.80000,-1.60000, -1.81713, -5.24561,  294,        1,
(  2/5 | 19/10), 0.40000, 1.90000,  0.90857,  5.50789,  295,        1,
( -2/5 | 23/10),-0.40000, 2.30000, -0.90857,  5.50789,  295,        1,
( 23/10|-19/10), 2.30000,-1.90000,  5.22425, -1.96710,  295,        1,
( 19/10|-23/10), 1.90000,-2.30000,  4.31569, -3.54078,  295,        1,
(-23/10|  2/5 ),-2.30000, 0.40000, -5.22425, -1.96710,  295,        1,
(-19/10| -2/5 ),-1.90000,-0.40000, -4.31569, -3.54078,  295,        1,
( 19/10|  2/5 ), 1.90000, 0.40000,  4.31569,  3.54078,  296,        1,
( 23/10| -2/5 ), 2.30000,-0.40000,  5.22425,  1.96710,  296,        1,
(-19/10| 23/10),-1.90000, 2.30000, -4.31569,  3.54078,  296,        1,
(-23/10| 19/10),-2.30000, 1.90000, -5.22425,  1.96710,  296,        1,
(  2/5 |-23/10), 0.40000,-2.30000,  0.90857, -5.50789,  296,        1,
( -2/5 |-19/10),-0.40000,-1.90000, -0.90857, -5.50789,  296,        1,
( 17/10|  7/10), 1.70000, 0.70000,  3.86140,  4.06534,  297,        1,
( 12/5 | -7/10), 2.40000,-0.70000,  5.45139,  1.31140,  297,        1,
(-17/10| 12/5 ),-1.70000, 2.40000, -3.86140,  4.06534,  297,        1,
(-12/5 | 17/10),-2.40000, 1.70000, -5.45139,  1.31140,  297,        1,
(  7/10|-12/5 ), 0.70000,-2.40000,  1.58999, -5.37675,  297,        1,
( -7/10|-17/10),-0.70000,-1.70000, -1.58999, -5.37675,  297,        1,
(  7/10| 17/10), 0.70000, 1.70000,  1.58999,  5.37675,  298,        1,
( -7/10| 12/5 ),-0.70000, 2.40000, -1.58999,  5.37675,  298,        1,
( 12/5 |-17/10), 2.40000,-1.70000,  5.45139, -1.31140,  298,        1,
( 17/10|-12/5 ), 1.70000,-2.40000,  3.86140, -4.06534,  298,        1,
(-12/5 |  7/10),-2.40000, 0.70000, -5.45139, -1.31140,  298,        1,
(-17/10| -7/10),-1.70000,-0.70000, -3.86140, -4.06534,  298,        1,
(  1/10| 21/10), 0.10000, 2.10000,  0.22714,  5.63903,  299,        1,
( -1/10| 11/5 ),-0.10000, 2.20000, -0.22714,  5.63903,  299,        1,
( 11/5 |-21/10), 2.20000,-2.10000,  4.99711, -2.62280,  299,        1,
( 21/10|-11/5 ), 2.10000,-2.20000,  4.76997, -3.01622,  299,        1,
(-11/5 |  1/10),-2.20000, 0.10000, -4.99711, -2.62280,  299,        1,
(-21/10| -1/10),-2.10000,-0.10000, -4.76997, -3.01622,  299,        1,
( 21/10|  1/10), 2.10000, 0.10000,  4.76997,  3.01622,  300,        1,
( 11/5 | -1/10), 2.20000,-0.10000,  4.99711,  2.62280,  300,        1,
(-21/10| 11/5 ),-2.10000, 2.20000, -4.76997,  3.01622,  300,        1,
(-11/5 | 21/10),-2.20000, 2.10000, -4.99711,  2.62280,  300,        1,
(  1/10|-11/5 ), 0.10000,-2.20000,  0.22714, -5.63903,  300,        1,
( -1/10|-21/10),-0.10000,-2.10000, -0.22714, -5.63903,  300,        1,
(  9/5 |  3/5 ), 1.80000, 0.60000,  4.08855,  3.93420,  301,        1,
( 12/5 | -3/5 ), 2.40000,-0.60000,  5.45139,  1.57368,  301,        1,
( -9/5 | 12/5 ),-1.80000, 2.40000, -4.08855,  3.93420,  301,        1,
(-12/5 |  9/5 ),-2.40000, 1.80000, -5.45139,  1.57368,  301,        1,
(  3/5 |-12/5 ), 0.60000,-2.40000,  1.36285, -5.50789,  301,        1,
( -3/5 | -9/5 ),-0.60000,-1.80000, -1.36285, -5.50789,  301,        1,
(  3/5 |  9/5 ), 0.60000, 1.80000,  1.36285,  5.50789,  302,        1,
( -3/5 | 12/5 ),-0.60000, 2.40000, -1.36285,  5.50789,  302,        1,
( 12/5 | -9/5 ), 2.40000,-1.80000,  5.45139, -1.57368,  302,        1,
(  9/5 |-12/5 ), 1.80000,-2.40000,  4.08855, -3.93420,  302,        1,
(-12/5 |  3/5 ),-2.40000, 0.60000, -5.45139, -1.57368,  302,        1,
( -9/5 | -3/5 ),-1.80000,-0.60000, -4.08855, -3.93420,  302,        1,
(  6/5 | 13/10), 1.20000, 1.30000,  2.72570,  4.98333,  303,        1,
( -6/5 |  5/2 ),-1.20000, 2.50000, -2.72570,  4.98333,  303,        1,
(  5/2 |-13/10), 2.50000,-1.30000,  5.67853, -0.13114,  303,        1,
( 13/10| -5/2 ), 1.30000,-2.50000,  2.95284, -4.85219,  303,        1,
( -5/2 |  6/5 ),-2.50000, 1.20000, -5.67853, -0.13114,  303,        1,
(-13/10| -6/5 ),-1.30000,-1.20000, -2.95284, -4.85219,  303,        1,
(  2   |  3/10), 2.00000, 0.30000,  4.54283,  3.40964,  304,        1,
( 23/10| -3/10), 2.30000,-0.30000,  5.22425,  2.22938,  304,        1,
( -2   | 23/10),-2.00000, 2.30000, -4.54283,  3.40964,  304,        1,
(-23/10|  2   ),-2.30000, 2.00000, -5.22425,  2.22938,  304,        1,
(  3/10|-23/10), 0.30000,-2.30000,  0.68142, -5.63903,  304,        1,
( -3/10| -2   ),-0.30000,-2.00000, -0.68142, -5.63903,  304,        1,
(  3/10|  2   ), 0.30000, 2.00000,  0.68142,  5.63903,  305,        1,
( -3/10| 23/10),-0.30000, 2.30000, -0.68142,  5.63903,  305,        1,
( 23/10| -2   ), 2.30000,-2.00000,  5.22425, -2.22938,  305,        1,
(  2   |-23/10), 2.00000,-2.30000,  4.54283, -3.40964,  305,        1,
(-23/10|  3/10),-2.30000, 0.30000, -5.22425, -2.22938,  305,        1,
( -2   | -3/10),-2.00000,-0.30000, -4.54283, -3.40964,  305,        1,
( 13/10|  6/5 ), 1.30000, 1.20000,  2.95284,  4.85219,  306,        1,
(  5/2 | -6/5 ), 2.50000,-1.20000,  5.67853,  0.13114,  306,        1,
(-13/10|  5/2 ),-1.30000, 2.50000, -2.95284,  4.85219,  306,        1,
( -5/2 | 13/10),-2.50000, 1.30000, -5.67853,  0.13114,  306,        1,
(  6/5 | -5/2 ), 1.20000,-2.50000,  2.72570, -4.98333,  306,        1,
( -6/5 |-13/10),-1.20000,-1.30000, -2.72570, -4.98333,  306,        1,
( 11/10|  7/5 ), 1.10000, 1.40000,  2.49856,  5.11447,  307,        1,
(-11/10|  5/2 ),-1.10000, 2.50000, -2.49856,  5.11447,  307,        1,
(  5/2 | -7/5 ), 2.50000,-1.40000,  5.67853, -0.39342,  307,        1,
(  7/5 | -5/2 ), 1.40000,-2.50000,  3.17998, -4.72105,  307,        1,
( -5/2 | 11/10),-2.50000, 1.10000, -5.67853, -0.39342,  307,        1,
( -7/5 |-11/10),-1.40000,-1.10000, -3.17998, -4.72105,  307,        1,
(  7/5 | 11/10), 1.40000, 1.10000,  3.17998,  4.72105,  308,        1,
(  5/2 |-11/10), 2.50000,-1.10000,  5.67853,  0.39342,  308,        1,
( -7/5 |  5/2 ),-1.40000, 2.50000, -3.17998,  4.72105,  308,        1,
( -5/2 |  7/5 ),-2.50000, 1.40000, -5.67853,  0.39342,  308,        1,
( 11/10| -5/2 ), 1.10000,-2.50000,  2.49856, -5.11447,  308,        1,
(-11/10| -7/5 ),-1.10000,-1.40000, -2.49856, -5.11447,  308,        1,
(  1   |  3/2 ), 1.00000, 1.50000,  2.27141,  5.24561,  309,        1,
( -1   |  5/2 ),-1.00000, 2.50000, -2.27141,  5.24561,  309,        1,
(  5/2 | -3/2 ), 2.50000,-1.50000,  5.67853, -0.65570,  309,        1,
(  3/2 | -5/2 ), 1.50000,-2.50000,  3.40712, -4.58991,  309,        1,
( -5/2 |  1   ),-2.50000, 1.00000, -5.67853, -0.65570,  309,        1,
( -3/2 | -1   ),-1.50000,-1.00000, -3.40712, -4.58991,  309,        1,
(  3/2 |  1   ), 1.50000, 1.00000,  3.40712,  4.58991,  310,        1,
(  5/2 | -1   ), 2.50000,-1.00000,  5.67853,  0.65570,  310,        1,
( -3/2 |  5/2 ),-1.50000, 2.50000, -3.40712,  4.58991,  310,        1,
( -5/2 |  3/2 ),-2.50000, 1.50000, -5.67853,  0.65570,  310,        1,
(  1   | -5/2 ), 1.00000,-2.50000,  2.27141, -5.24561,  310,        1,
( -1   | -3/2 ),-1.00000,-1.50000, -2.27141, -5.24561,  310,        1,
(  9/10|  8/5 ), 0.90000, 1.60000,  2.04427,  5.37675,  311,        1,
( -9/10|  5/2 ),-0.90000, 2.50000, -2.04427,  5.37675,  311,        1,
(  5/2 | -8/5 ), 2.50000,-1.60000,  5.67853, -0.91798,  311,        1,
(  8/5 | -5/2 ), 1.60000,-2.50000,  3.63426, -4.45876,  311,        1,
( -5/2 |  9/10),-2.50000, 0.90000, -5.67853, -0.91798,  311,        1,
( -8/5 | -9/10),-1.60000,-0.90000, -3.63426, -4.45876,  311,        1,
(  8/5 |  9/10), 1.60000, 0.90000,  3.63426,  4.45876,  312,        1,
(  5/2 | -9/10), 2.50000,-0.90000,  5.67853,  0.91798,  312,        1,
( -8/5 |  5/2 ),-1.60000, 2.50000, -3.63426,  4.45876,  312,        1,
( -5/2 |  8/5 ),-2.50000, 1.60000, -5.67853,  0.91798,  312,        1,
(  9/10| -5/2 ), 0.90000,-2.50000,  2.04427, -5.37675,  312,        1,
( -9/10| -8/5 ),-0.90000,-1.60000, -2.04427, -5.37675,  312,        1,
( 19/10|  1/2 ), 1.90000, 0.50000,  4.31569,  3.80306,  313,        1,
( 12/5 | -1/2 ), 2.40000,-0.50000,  5.45139,  1.83596,  313,        1,
(-19/10| 12/5 ),-1.90000, 2.40000, -4.31569,  3.80306,  313,        1,
(-12/5 | 19/10),-2.40000, 1.90000, -5.45139,  1.83596,  313,        1,
(  1/2 |-12/5 ), 0.50000,-2.40000,  1.13571, -5.63903,  313,        1,
( -1/2 |-19/10),-0.50000,-1.90000, -1.13571, -5.63903,  313,        1,
(  1/2 | 19/10), 0.50000, 1.90000,  1.13571,  5.63903,  314,        1,
( -1/2 | 12/5 ),-0.50000, 2.40000, -1.13571,  5.63903,  314,        1,
( 12/5 |-19/10), 2.40000,-1.90000,  5.45139, -1.83596,  314,        1,
( 19/10|-12/5 ), 1.90000,-2.40000,  4.31569, -3.80306,  314,        1,
(-12/5 |  1/2 ),-2.40000, 0.50000, -5.45139, -1.83596,  314,        1,
(-19/10| -1/2 ),-1.90000,-0.50000, -4.31569, -3.80306,  314,        1,
( 11/5 |  0   ), 2.20000, 0.00000,  4.99711,  2.88508,  315,        1,
(-11/5 | 11/5 ),-2.20000, 2.20000, -4.99711,  2.88508,  315,        1,
(  0   |-11/5 ), 0.00000,-2.20000,  0.00000, -5.77017,  315,        1,
(  0   | 11/5 ), 0.00000, 2.20000,  0.00000,  5.77017,  316,        1,
( 11/5 |-11/5 ), 2.20000,-2.20000,  4.99711, -2.88508,  316,        1,
(-11/5 |  0   ),-2.20000, 0.00000, -4.99711, -2.88508,  316,        1,
( 21/10|  1/5 ), 2.10000, 0.20000,  4.76997,  3.27850,  317,        1,
( 23/10| -1/5 ), 2.30000,-0.20000,  5.22425,  2.49166,  317,        1,
(-21/10| 23/10),-2.10000, 2.30000, -4.76997,  3.27850,  317,        1,
(-23/10| 21/10),-2.30000, 2.10000, -5.22425,  2.49166,  317,        1,
(  1/5 |-23/10), 0.20000,-2.30000,  0.45428, -5.77017,  317,        1,
( -1/5 |-21/10),-0.20000,-2.10000, -0.45428, -5.77017,  317,        1,
(  1/5 | 21/10), 0.20000, 2.10000,  0.45428,  5.77017,  318,        1,
( -1/5 | 23/10),-0.20000, 2.30000, -0.45428,  5.77017,  318,        1,
( 23/10|-21/10), 2.30000,-2.10000,  5.22425, -2.49166,  318,        1,
( 21/10|-23/10), 2.10000,-2.30000,  4.76997, -3.27850,  318,        1,
(-23/10|  1/5 ),-2.30000, 0.20000, -5.22425, -2.49166,  318,        1,
(-21/10| -1/5 ),-2.10000,-0.20000, -4.76997, -3.27850,  318,        1,
(  4/5 | 17/10), 0.80000, 1.70000,  1.81713,  5.50789,  319,        1,
( -4/5 |  5/2 ),-0.80000, 2.50000, -1.81713,  5.50789,  319,        1,
(  5/2 |-17/10), 2.50000,-1.70000,  5.67853, -1.18026,  319,        1,
( 17/10| -5/2 ), 1.70000,-2.50000,  3.86140, -4.32762,  319,        1,
( -5/2 |  4/5 ),-2.50000, 0.80000, -5.67853, -1.18026,  319,        1,
(-17/10| -4/5 ),-1.70000,-0.80000, -3.86140, -4.32762,  319,        1,
( 17/10|  4/5 ), 1.70000, 0.80000,  3.86140,  4.32762,  320,        1,
(  5/2 | -4/5 ), 2.50000,-0.80000,  5.67853,  1.18026,  320,        1,
(-17/10|  5/2 ),-1.70000, 2.50000, -3.86140,  4.32762,  320,        1,
( -5/2 | 17/10),-2.50000, 1.70000, -5.67853,  1.18026,  320,        1,
(  4/5 | -5/2 ), 0.80000,-2.50000,  1.81713, -5.50789,  320,        1,
( -4/5 |-17/10),-0.80000,-1.70000, -1.81713, -5.50789,  320,        1,
(  2/5 |  2   ), 0.40000, 2.00000,  0.90857,  5.77017,  321,        1,
( -2/5 | 12/5 ),-0.40000, 2.40000, -0.90857,  5.77017,  321,        1,
( 12/5 | -2   ), 2.40000,-2.00000,  5.45139, -2.09824,  321,        1,
(  2   |-12/5 ), 2.00000,-2.40000,  4.54283, -3.67192,  321,        1,
(-12/5 |  2/5 ),-2.40000, 0.40000, -5.45139, -2.09824,  321,        1,
( -2   | -2/5 ),-2.00000,-0.40000, -4.54283, -3.67192,  321,        1,
(  2   |  2/5 ), 2.00000, 0.40000,  4.54283,  3.67192,  322,        1,
( 12/5 | -2/5 ), 2.40000,-0.40000,  5.45139,  2.09824,  322,        1,
( -2   | 12/5 ),-2.00000, 2.40000, -4.54283,  3.67192,  322,        1,
(-12/5 |  2   ),-2.40000, 2.00000, -5.45139,  2.09824,  322,        1,
(  2/5 |-12/5 ), 0.40000,-2.40000,  0.90857, -5.77017,  322,        1,
( -2/5 | -2   ),-0.40000,-2.00000, -0.90857, -5.77017,  322,        1,
(  7/10|  9/5 ), 0.70000, 1.80000,  1.58999,  5.63903,  323,        1,
( -7/10|  5/2 ),-0.70000, 2.50000, -1.58999,  5.63903,  323,        1,
(  5/2 | -9/5 ), 2.50000,-1.80000,  5.67853, -1.44254,  323,        1,
(  9/5 | -5/2 ), 1.80000,-2.50000,  4.08855, -4.19648,  323,        1,
( -5/2 |  7/10),-2.50000, 0.70000, -5.67853, -1.44254,  323,        1,
( -9/5 | -7/10),-1.80000,-0.70000, -4.08855, -4.19648,  323,        1,
(  9/5 |  7/10), 1.80000, 0.70000,  4.08855,  4.19648,  324,        1,
(  5/2 | -7/10), 2.50000,-0.70000,  5.67853,  1.44254,  324,        1,
( -9/5 |  5/2 ),-1.80000, 2.50000, -4.08855,  4.19648,  324,        1,
( -5/2 |  9/5 ),-2.50000, 1.80000, -5.67853,  1.44254,  324,        1,
(  7/10| -5/2 ), 0.70000,-2.50000,  1.58999, -5.63903,  324,        1,
( -7/10| -9/5 ),-0.70000,-1.80000, -1.58999, -5.63903,  324,        1,
( 13/10| 13/10), 1.30000, 1.30000,  2.95284,  5.11447,  325,        1,
( 13/5 |-13/10), 2.60000,-1.30000,  5.90568, -0.00000,  325,        1,
(-13/10| 13/5 ),-1.30000, 2.60000, -2.95284,  5.11447,  325,        1,
( 13/10|-13/5 ), 1.30000,-2.60000,  2.95284, -5.11447,  325,        1,
(-13/5 | 13/10),-2.60000, 1.30000, -5.90568,  0.00000,  325,        1,
(-13/10|-13/10),-1.30000,-1.30000, -2.95284, -5.11447,  325,        1,
(  1/10| 11/5 ), 0.10000, 2.20000,  0.22714,  5.90131,  326,        1,
( -1/10| 23/10),-0.10000, 2.30000, -0.22714,  5.90131,  326,        1,
( 23/10|-11/5 ), 2.30000,-2.20000,  5.22425, -2.75394,  326,        1,
( 11/5 |-23/10), 2.20000,-2.30000,  4.99711, -3.14736,  326,        1,
(-23/10|  1/10),-2.30000, 0.10000, -5.22425, -2.75394,  326,        1,
(-11/5 | -1/10),-2.20000,-0.10000, -4.99711, -3.14736,  326,        1,
( 11/5 |  1/10), 2.20000, 0.10000,  4.99711,  3.14736,  327,        1,
( 23/10| -1/10), 2.30000,-0.10000,  5.22425,  2.75394,  327,        1,
(-11/5 | 23/10),-2.20000, 2.30000, -4.99711,  3.14736,  327,        1,
(-23/10| 11/5 ),-2.30000, 2.20000, -5.22425,  2.75394,  327,        1,
(  1/10|-23/10), 0.10000,-2.30000,  0.22714, -5.90131,  327,        1,
( -1/10|-11/5 ),-0.10000,-2.20000, -0.22714, -5.90131,  327,        1,
(  6/5 |  7/5 ), 1.20000, 1.40000,  2.72570,  5.24561,  328,        1,
( -6/5 | 13/5 ),-1.20000, 2.60000, -2.72570,  5.24561,  328,        1,
( 13/5 | -7/5 ), 2.60000,-1.40000,  5.90568, -0.26228,  328,        1,
(  7/5 |-13/5 ), 1.40000,-2.60000,  3.17998, -4.98333,  328,        1,
(-13/5 |  6/5 ),-2.60000, 1.20000, -5.90568, -0.26228,  328,        1,
( -7/5 | -6/5 ),-1.40000,-1.20000, -3.17998, -4.98333,  328,        1,
(  7/5 |  6/5 ), 1.40000, 1.20000,  3.17998,  4.98333,  329,        1,
( 13/5 | -6/5 ), 2.60000,-1.20000,  5.90568,  0.26228,  329,        1,
( -7/5 | 13/5 ),-1.40000, 2.60000, -3.17998,  4.98333,  329,        1,
(-13/5 |  7/5 ),-2.60000, 1.40000, -5.90568,  0.26228,  329,        1,
(  6/5 |-13/5 ), 1.20000,-2.60000,  2.72570, -5.24561,  329,        1,
( -6/5 | -7/5 ),-1.20000,-1.40000, -2.72570, -5.24561,  329,        1,
( 11/10|  3/2 ), 1.10000, 1.50000,  2.49856,  5.37675,  330,        1,
(-11/10| 13/5 ),-1.10000, 2.60000, -2.49856,  5.37675,  330,        1,
( 13/5 | -3/2 ), 2.60000,-1.50000,  5.90568, -0.52456,  330,        1,
(  3/2 |-13/5 ), 1.50000,-2.60000,  3.40712, -4.85219,  330,        1,
(-13/5 | 11/10),-2.60000, 1.10000, -5.90568, -0.52456,  330,        1,
( -3/2 |-11/10),-1.50000,-1.10000, -3.40712, -4.85219,  330,        1,
( 19/10|  3/5 ), 1.90000, 0.60000,  4.31569,  4.06534,  331,        1,
(  5/2 | -3/5 ), 2.50000,-0.60000,  5.67853,  1.70482,  331,        1,
(-19/10|  5/2 ),-1.90000, 2.50000, -4.31569,  4.06534,  331,        1,
( -5/2 | 19/10),-2.50000, 1.90000, -5.67853,  1.70482,  331,        1,
(  3/5 | -5/2 ), 0.60000,-2.50000,  1.36285, -5.77017,  331,        1,
( -3/5 |-19/10),-0.60000,-1.90000, -1.36285, -5.77017,  331,        1,
(  3/2 | 11/10), 1.50000, 1.10000,  3.40712,  4.85219,  332,        1,
( 13/5 |-11/10), 2.60000,-1.10000,  5.90568,  0.52456,  332,        1,
( -3/2 | 13/5 ),-1.50000, 2.60000, -3.40712,  4.85219,  332,        1,
(-13/5 |  3/2 ),-2.60000, 1.50000, -5.90568,  0.52456,  332,        1,
( 11/10|-13/5 ), 1.10000,-2.60000,  2.49856, -5.37675,  332,        1,
(-11/10| -3/2 ),-1.10000,-1.50000, -2.49856, -5.37675,  332,        1,
(  3/5 | 19/10), 0.60000, 1.90000,  1.36285,  5.77017,  333,        1,
( -3/5 |  5/2 ),-0.60000, 2.50000, -1.36285,  5.77017,  333,        1,
(  5/2 |-19/10), 2.50000,-1.90000,  5.67853, -1.70482,  333,        1,
( 19/10| -5/2 ), 1.90000,-2.50000,  4.31569, -4.06534,  333,        1,
( -5/2 |  3/5 ),-2.50000, 0.60000, -5.67853, -1.70482,  333,        1,
