# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Fe2O3(012)-(1x1).tlm
#
# Structure: Fe2O3(012)-(1x1)
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  8| -3),  8.00000, -3.00000,  9.98321, -3.47355,  133,        1,
( -8| -3), -8.00000, -3.00000, -9.98321, -3.47355,  133,        1,
(  8|  3),  8.00000,  3.00000,  9.98321,  3.47355,  134,        1,
( -8|  3), -8.00000,  3.00000, -9.98321,  3.47355,  134,        1,
(  2| -9),  2.00000, -9.00000,  2.49580,-10.42064,  135,        1,
( -2| -9), -2.00000, -9.00000, -2.49580,-10.42064,  135,        1,
(  2|  9),  2.00000,  9.00000,  2.49580, 10.42064,  136,        1,
( -2|  9), -2.00000,  9.00000, -2.49580, 10.42064,  136,        1,
(  8|  4),  8.00000,  4.00000,  9.98321,  4.63140,  137,        1,
( -8|  4), -8.00000,  4.00000, -9.98321,  4.63140,  137,        1,
(  8| -4),  8.00000, -4.00000,  9.98321, -4.63140,  138,        1,
( -8| -4), -8.00000, -4.00000, -9.98321, -4.63140,  138,        1,
(  6| -7),  6.00000, -7.00000,  7.48741, -8.10495,  139,        1,
( -6| -7), -6.00000, -7.00000, -7.48741, -8.10495,  139,        1,
(  6|  7),  6.00000,  7.00000,  7.48741,  8.10495,  140,        1,
( -6|  7), -6.00000,  7.00000, -7.48741,  8.10495,  140,        1,
(  3| -9),  3.00000, -9.00000,  3.74371,-10.42064,  141,        1,
( -3| -9), -3.00000, -9.00000, -3.74371,-10.42064,  141,        1,
(  3|  9),  3.00000,  9.00000,  3.74371, 10.42064,  142,        1,
( -3|  9), -3.00000,  9.00000, -3.74371, 10.42064,  142,        1,
(  7|  6),  7.00000,  6.00000,  8.73531,  6.94710,  143,        1,
( -7|  6), -7.00000,  6.00000, -8.73531,  6.94710,  143,        1,
(  7| -6),  7.00000, -6.00000,  8.73531, -6.94710,  144,        1,
( -7| -6), -7.00000, -6.00000, -8.73531, -6.94710,  144,        1,
(  5| -8),  5.00000, -8.00000,  6.23951, -9.26279,  145,        1,
( -5| -8), -5.00000, -8.00000, -6.23951, -9.26279,  145,        1,
(  5|  8),  5.00000,  8.00000,  6.23951,  9.26279,  146,        1,
( -5|  8), -5.00000,  8.00000, -6.23951,  9.26279,  146,        1,
(  9|  0),  9.00000,  0.00000, 11.23112, -0.00000,  147,        1,
( -9|  0), -9.00000,  0.00000,-11.23112,  0.00000,  147,        1,
(  9| -1),  9.00000, -1.00000, 11.23112, -1.15785,  148,        1,
( -9| -1), -9.00000, -1.00000,-11.23112, -1.15785,  148,        1,
(  9|  1),  9.00000,  1.00000, 11.23112,  1.15785,  149,        1,
( -9|  1), -9.00000,  1.00000,-11.23112,  1.15785,  149,        1,
(  9| -2),  9.00000, -2.00000, 11.23112, -2.31570,  150,        1,
( -9| -2), -9.00000, -2.00000,-11.23112, -2.31570,  150,        1,
